timestamp,burt_effective_size
20190120,0.9183548923129118
20190121,0.9006126783995079
20190123,0.8989398097499811
20190128,0.8968610985832227
20190129,0.8967006468811957
20190130,0.8937358588903441
20190220,0.7848319143646337
20190225,0.7715571457302185
20190226,0.7725165955797988
20190227,0.7712423819526733
20190228,0.7774017185447637
20190303,0.7771951084639575
20190304,0.7776470467673737
20190306,0.7710098545786968
20190311,0.7691202473085705
20190312,0.7685886201810275
20190313,0.7682640136524016
20190314,0.7686895778052221
20190317,0.7664142091880738
20190318,0.7658691254271132
20190428,0.7328796401471163
20190429,0.7325385780558321
20190501,0.730841118524115
20190506,0.7294086630252006
20190507,0.728562170860561
20190508,0.7276706543580049
20190509,0.7267701637290697
20190617,0.7528941720776343
20190618,0.7526347060646548
20190619,0.7520067931209633
20190620,0.7522283329615349
20190623,0.7502940495122461
20190624,0.7501279377744915
20190626,0.7500209643722364
20190715,0.7569886608414506
20190716,0.7577146400890907
20190717,0.7571996067297704
20190718,0.7575381649125459
20190721,0.7559288332003226
20190722,0.7551858807924211
20190724,0.7542744413032114
20190729,0.7522322441269741
20190730,0.7553300743468686
20190731,0.760697788996486
20190801,0.7598734745359574
20190804,0.769814336328464
20190805,0.7704731030546363
20190807,0.7741825303416062
20190812,0.7757967872937768
20190813,0.776308698822435
20190814,0.7763163521775516
20190815,0.7877081894757977
20190818,0.7882219600035554
20190819,0.7885635051340553
20190821,0.7886580883480844
20190826,0.7877317489526328
20190827,0.7892497422574278
20190828,0.7896710457802618
20190829,0.7897517235551721
20190901,0.7897586074970302
20190902,0.789943789939468
20190904,0.7862289328899479
20190909,0.7847233402321224
20190910,0.7842472011431075
20190911,0.7843219632375007
20190912,0.7846230909565675
20190915,0.7849411895197662
20190916,0.7851446847962916
20190918,0.7850303955161717
20190923,0.7886332444837085
20190924,0.7882627446717825
20190925,0.7871190569261807
20190926,0.7857947203822622
20190929,0.787060454598893
20190930,0.7863676854656292
20191002,0.7860635555545651
20191007,0.7892811569309365
20191008,0.7897959654907595
20191009,0.7905015722670105
20191010,0.7900560674232832
20191013,0.7836359171247432
20191014,0.7832813063165726
20191016,0.7845229243189861
20191021,0.7821761679572223
20191022,0.781757255148135
20191023,0.7813414657196304
20191024,0.7814778352412208
20191027,0.7811360335262311
20191028,0.781195523486449
20191030,0.7858602506555691
20191104,0.787736368717234
20191105,0.7877521943397882
20191106,0.7878094278608945
20191107,0.78771414416479
20191110,0.7880775176074297
20191111,0.788359229959576
20191113,0.7890111239635362
20191118,0.8031005207266013
20200127,0.8288731907367589
20200128,0.8284841978061308
20200129,0.8288211014594887
20200130,0.8287828526600173
20200202,0.8011260828331146
20200203,0.7936492933301095
20200205,0.7930300566967724
20200210,0.7951114824280379
20200211,0.7955873869028071
20200212,0.7951007958084539
20200213,0.7954269106111365
20200216,0.7953845891073987
20200217,0.7938332511142636
20200219,0.7929098374103236
20200224,0.7897778896711536
20200225,0.7890113082790052
20200226,0.7892346659654584
20200227,0.7897772582274161
20200301,0.7912391537457647
20200302,0.793529123753479
20200304,0.794249502340375
20200309,0.7950835772202027
20200310,0.7953721935800748
20200311,0.795757556734617
20200312,0.7958719287678307
20200315,0.7953090227425745
20200316,0.7940244070808387
20200318,0.7953282140909107
20200323,0.8149712975492858
20200324,0.8150655326439334
20200325,0.8149222799285761
20200326,0.7994910337560717
20200329,0.798095176961889
20200330,0.7976976146897802
20200401,0.79785928997009
20200406,0.7968511684493863
20200407,0.7968274467992488
20200408,0.7968994500027097
20200409,0.7970635784228638
20200412,0.7967047209686111
20200413,0.7960957620518027
20200415,0.7955151145865189
20200420,0.7971621302527084
20200421,0.7993296148798473
20200422,0.8001246543354591
20200423,0.7999063611083176
20200426,0.8020978469879491
20200427,0.8030820745257125
20200429,0.8033542763510313
20200504,0.8055538795424433
20200505,0.8052463233321981
20200506,0.804786730343204
20200507,0.8051125726003162
20200510,0.8078538093970258
20200511,0.8082921751049512
20200513,0.807604012682098
20200518,0.8075391250417618
20200519,0.8075975418064533
20200520,0.8073885896319118
20200521,0.8080886990022259
20200524,0.8156126520459324
20200525,0.8173998493257008
20200527,0.8177732427132246
20200601,0.8167616621438617
