timestamp,degree_dist_entropy,degree_dist_entropy_norm
20190120,3.0949559138859444,0.5329372761651995
20190121,3.1928214674902904,0.5405249032145601
20190123,3.189525825487174,0.5444752770860968
20190128,3.1061303983608513,0.5302390705849682
20190129,3.037906809285327,0.5278829183269471
20190130,2.9355965301048497,0.5125065114628434
20190220,3.766507493363234,0.5609725595307804
20190225,4.200412866162826,0.5981476587383939
20190226,4.206514846796028,0.6019036535956344
20190227,4.254266394862102,0.6058165149038831
20190228,4.3503625797370065,0.6147344833388003
20190303,4.461161086423572,0.6196339045377719
20190304,4.4818633942334865,0.6225093559219952
20190306,4.484495201299494,0.6203634913676149
20190311,4.427578310041339,0.609289716334222
20190312,4.421073175448796,0.61240753182553
20190313,4.402562577105658,0.6123324068691127
20190314,4.37890040560474,0.6090413430459082
20190317,4.303584402131062,0.6045259201007308
20190318,4.28886271267634,0.6051337141006748
20190428,4.602481884857899,0.6255452740217233
20190429,4.603480668344183,0.6234649284419944
20190501,4.597895172189495,0.6264290374302585
20190506,4.593166843995896,0.6227989540602406
20190507,4.5837557391114006,0.6252636355481719
20190508,4.578949607785306,0.6238478451175078
20190509,4.570188398849479,0.6234129338573063
20190617,4.4230015875977,0.5990220372321665
20190618,4.425779325629931,0.5993982356716222
20190619,4.423663552856818,0.6005253943822663
20190620,4.4217491198505385,0.6017026384769298
20190623,4.409945619837203,0.6015544430741607
20190624,4.412138262674948,0.5996747640934919
20190626,4.410511331406394,0.5994536401017712
20190715,4.292303679386456,0.5891649562289752
20190716,4.28553553515669,0.5889860173432765
20190717,4.298866833582648,0.58568864920852
20190718,4.295769997894118,0.5874249627898059
20190721,4.318748484229794,0.589837598548041
20190722,4.322962313295383,0.5904131066670747
20190724,4.325591996515301,0.5915029712583583
20190729,4.334528330069652,0.5891264278321127
20190730,4.3190992578822724,0.5856374461571471
20190731,4.2956895654459135,0.5838476660103328
20190801,4.297393818397233,0.5876470120845976
20190804,4.2245681001354995,0.5755659990974213
20190805,4.21340075988495,0.5761613833625366
20190807,4.193757517185299,0.5693149709192659
20190812,4.169328507039138,0.5687322031281054
20190813,4.163599947900601,0.5693513725516346
20190814,4.159915210037141,0.5695564192661977
20190815,4.112071496493313,0.5609218553233501
20190818,4.127343640417121,0.5602990909677021
20190819,4.125045194868081,0.55932517151501
20190821,4.117376088344613,0.5576301440648574
20190826,4.116178694205498,0.5601212356502235
20190827,4.125821443264076,0.5600924482077505
20190828,4.123126117429658,0.5597265497639917
20190829,4.122220069580919,0.5589421057275711
20190901,4.113740887847896,0.5604666152892988
20190902,4.111952240935544,0.558209663023346
20190904,4.1308260653963,0.5587998768380171
20190909,4.147001834340288,0.5649981719940436
20190910,4.147083621211941,0.5643267153411071
20190911,4.142330127636754,0.563003853052857
20190912,4.129051826182873,0.5625526168191611
20190915,4.1341469180459205,0.5625663150521711
20190916,4.132465811061498,0.5623375534285078
20190918,4.132561111668535,0.5603442734290294
20190923,4.126413884273779,0.5582030164936649
20190924,4.128970953140175,0.5592004757488308
20190925,4.129528148503481,0.5626175121944645
20190926,4.13043338604366,0.5613869101368401
20190929,4.129398286672768,0.5579604859428925
20190930,4.130326472455121,0.5600412731218154
20191002,4.137917740655681,0.5604121693867552
20191007,4.1192029066618545,0.5578775562369706
20191008,4.110573324923895,0.5560601756977499
20191009,4.103511838131874,0.5551049290020031
