timestamp,ks_stat,ks_p,wasserstein_distance
20190121,0.026311812030107656,0.7955045213561729,0.5041909754759837
20190123,0.0021423405886542945,1.0,0.06495261294865151
20190128,0.018616805769386596,0.9838667773388554,0.32367717364882015
20190129,0.011672015001850758,0.9999967529854783,0.2252281327529198
20190130,0.019768857440329513,0.97794698871402,0.48695457764748146
20190220,0.15626023453974017,1.151644962959057e-16,4.667079399918412
20190225,0.09157650695517774,1.2910821583068852e-10,2.717484813272214
20190226,0.003136994254749949,1.0,0.1621310471895262
20190227,0.0113907952052985,0.9860155633587949,0.3645237741430708
20190228,0.01854226880894174,0.6417320609125016,0.5873048831686111
20190303,0.025823056239273216,0.223807212511553,0.7739881097114374
20190304,0.007829413646758867,0.9999285393799858,0.19946019498215195
20190306,0.005506008514307269,0.9999999982548702,0.3018843967236118
20190311,0.0162877419820861,0.7343393575549819,0.4880243492422188
20190312,0.0032497289303545186,0.999999999999999,0.08667746327010259
20190313,0.006725364928412623,0.999997924847899,0.1804058447636431
20190314,0.007941696239996552,0.9998813104437151,0.19632021570571853
20190317,0.0195403981264637,0.5282250212853705,0.44970725995316435
20190318,0.004447197539302803,0.99999999999999,0.09961266803373697
20190428,0.06495597068105467,3.1389752773539247e-07,2.9021683803318767
20190429,0.0010254442968558963,1.0,0.01887434666355345
20190501,0.0013479318147089974,1.0,0.05975288441829488
20190506,0.004483311362384498,0.9999999999941628,0.14115552160446618
20190507,0.00259067202832484,0.9999999999999984,0.06019804699511569
20190508,0.003287256714132892,0.9999999999999958,0.06999972447467623
20190509,0.002638659326557416,0.9999999999999989,0.09086599405072968
20190617,0.029339919583822024,0.053093523532439034,1.6792073670122578
20190618,0.0009359031378867945,1.0,0.01670345955793448
20190619,0.0012478042633528514,1.0,0.017271993333801944
20190620,0.001348809177678893,1.0,0.10495637363418109
20190623,0.002770346559633052,0.9999999999999974,0.09070969280904104
20190624,0.0009976745662227046,1.0,0.03539246252807432
20190626,0.0022989732913397034,1.0,0.09606220751257916
20190715,0.03226553212788588,0.02150345071774729,0.8703827945397005
20190716,0.0017952150644077597,1.0,0.05436555449752284
20190717,0.002645073381803809,0.9999999999999976,0.08687552657036213
20190718,0.0009527897217647166,1.0,0.042734105735082406
20190721,0.005377090444695768,0.999999917424778,0.20350658558899987
20190722,0.001343880675003071,1.0,0.05413932473855204
20190724,0.001974601097434594,0.9999999999999996,0.0750338218955987
20190729,0.003986731213887392,0.9999999999999412,0.12105928638716854
20190730,0.00630948946316009,0.9999874487584826,0.15549775374782326
20190731,0.008042186637139662,0.9983865193925909,0.15168437841689228
20190801,0.003356455582904453,1.0,0.0666815842470358
20190804,0.022438694326643558,0.19913016693017677,0.4714432370696449
20190805,0.003044667069030413,0.9999999999999964,0.060556557293179214
20190807,0.006224321948259755,0.9999862829433042,0.15744392996448536
20190812,0.0059657144306624445,0.9999952831670447,0.14647851258272115
20190813,0.001936105711491193,0.9999999999999996,0.05026144932102494
20190814,0.0015459769018688915,1.0,0.050045339362921215
20190815,0.012812136354049753,0.8319856750342135,0.5503514598933039
20190818,0.004177001434189891,0.9999999999970309,0.11601641451784217
20190819,0.0012660554520239654,1.0,0.034946044490845984
20190821,0.0032797820238734776,0.9999999999999964,0.09085524787166671
20190826,0.003351342201539716,0.9999999999999967,0.10876246623920677
20190827,0.0034747469511969375,0.9999999999999938,0.09640446713512818
20190828,0.0020138924107167924,0.9999999999999992,0.03578802002544418
20190829,0.0009681407530534341,1.0,0.04143969175160911
20190901,0.0024122711182974262,0.999999999999999,0.06793597637410242
20190902,0.0019137748231499595,0.9999999999999988,0.03547268515298674
20190904,0.005978985747552012,0.9999944924026517,0.1634151030031863
20190909,0.0056957866392394665,0.9999983760939609,0.16313237909533518
20190910,0.0013007894556529846,1.0,0.03119072292866859
20190911,0.0011645250459499522,1.0,0.048948763372660076
20190912,0.004779863135271234,0.9999999964360714,0.14891889765340666
20190915,0.0038046156843866766,0.999999999999978,0.14938328118194416
20190916,0.000997400946391986,1.0,0.03727958667677006
20190918,0.0018712598720733353,0.9999999999999992,0.06444352453942714
20190923,0.0029636893100868306,0.9999999999999971,0.11681274069059927
20190924,0.0014876210145475595,0.9999999999999997,0.06059651868529736
20190925,0.0026821529494247404,0.9999999999999958,0.08757428882495144
20190926,0.0014240855861040055,1.0,0.05745593111817543
20190929,0.0023630415917736216,0.999999999999999,0.07078552158697748
20190930,0.0009871168215402212,1.0,0.03396425463560737
20191002,0.0028600674026646182,0.9999999999999984,0.07794990879484626
20191007,0.006568190497021243,0.9999385947029161,0.15189078907029419
20191008,0.0036698028171053537,0.9999999999999826,0.10365550370871379
20191009,0.001893410208247373,0.9999999999999989,0.07696250073356431
20191010,0.0017171518238298694,0.9999999999999992,0.05206836877414006
20191013,0.02201119080261811,0.21056547548823698,0.20121860022433746
20191014,0.0016829301136034947,1.0,0.06908564475535728
20191016,0.003729885447916406,0.9999999999999932,0.1251107559293249
20191021,0.00508783035290394,0.9999999749568653,0.14312391201141178
20191022,0.0015013440070710715,0.9999999999999996,0.04065950049367306
20191023,0.0009841199460672151,1.0,0.03961903115265125
20191024,0.001399031085863964,1.0,0.02997757011112029
20191027,0.002606943253279049,0.999999999999999,0.07619864856089731
20191028,0.001260949145828682,1.0,0.03944140765884857
20191030,0.002596743038690833,0.9999999999999961,0.0827462928256344
20191104,0.0021341530724398004,0.9999999999999989,0.07477415409210464
20191105,0.0031312505619931715,0.9999999999999984,0.09678300779341087
20191106,0.0011983018287841278,1.0,0.033808593017003286
20191107,0.0014272913915426525,1.0,0.032272808326877844
20191110,0.0023147176657831786,0.9999999999999984,0.053688813212585174
20191111,0.00132127553907811,1.0,0.022356813693221178
20191113,0.0024917152565124374,0.9999999999999992,0.10514646867178562
20191118,0.019846874545389363,0.33230522650516986,0.76019164828965
20200127,0.03137557409684839,0.03017815540189949,1.3671614482738876
20200128,0.0011383916681582888,1.0,0.03916767961011708
20200129,0.0014292378069535386,0.9999999999999998,0.035866498042566586
20200130,0.0065921768340601265,0.9999880623270071,0.09043850255022456
20200202,0.03329179929636455,0.01514512552712532,1.2399464062673387
20200203,0.009488972100170991,0.9795568766202221,0.25002964875175876
20200205,0.002888744655092076,0.9999999999999986,0.09545159521778157
20200210,0.00469631417710784,0.999999995970712,0.14885724039531656
20200211,0.0008053150795248641,0.9999999999999997,0.03140728810147031
20200212,0.0013152646973728832,1.0,0.0558690761064336
20200213,0.0018106177764485212,0.9999999999999997,0.07569023966721433
20200216,0.0017119633767609397,1.0,0.07058586475566475
20200217,0.004289487458646271,0.9999999998918133,0.1002370966026197
20200219,0.0016375205594745179,0.9999999999999989,0.04484247561171978
