timestamp,average_node_connectivity
20190120,1.7588415276177736
20190121,1.8528707252111507
20190123,1.8506502293546312
20190128,1.7685615254458684
20190129,1.7164750011958196
20190130,1.6348439526238436
20190220,2.496565277941246
20190225,3.198677000416906
20190226,3.215300642662206
20190227,3.3131303707150135
20190228,3.4965135020161653
20190303,3.723120031090744
20190304,3.7822421190207605
20190306,3.7862527125474696
20190311,3.6392193442037035
20190312,3.6268371146840765
20190313,3.580776583885303
20190314,3.5226744524946767
20190317,3.373060824508428
20190318,3.3490348682600364
20190428,4.069124261213072
20190429,4.066112227765754
20190501,4.062975683533848
20190506,4.04958744235735
20190507,4.034778022734978
20190508,4.019016796207038
20190509,4.001390510016708
20190617,3.6185412699851907
20190618,3.621678679376889
20190619,3.6169890539332696
20190620,3.6217337265541056
20190623,3.602702338705364
20190624,3.604496915704266
20190626,3.605739298394929
20190715,3.340879135664939
20190716,3.334120610927413
20190717,3.3531909085200056
20190718,3.3504172762146887
20190721,3.393781679486276
20190722,3.3989753756495378
20190724,3.415269248324918
20190729,3.4253105341101784
20190730,3.383942994080564
20190731,3.33260521651893
20190801,3.347918106089638
20190804,3.191904079022981
20190805,3.178443264718824
20190807,3.137159412706774
20190812,3.1014869764112563
20190813,3.08981111878611
20190814,3.084779581163195
20190815,2.98862123974855
20190818,3.0130952641019855
20190819,3.0098489150629226
20190821,2.9906897321966683
20190826,2.996471538158491
20190827,3.0123632384313015
20190828,3.0077013298638438
20190829,3.005433441125873
20190901,2.9940265052710973
