alpha,xmin,KS_stat,KS_pvalue,LRatio,LR_pvalue,r_squared,timestamp
1.8360246860097165,2.0,0.3213213213213213,1.1164022040160127e-61,-0.6507187665461125,0.5152280466361174,0.9885383761549458,20190120
1.8017486988598228,2.0,0.31090174966352624,2.712500699963606e-64,-0.02040708938097734,0.983718628520788,0.9858306163174803,20190121
1.8120392056293178,2.0,0.3133514986376022,1.5306041118256752e-64,0.10177621149061758,0.9189343080634358,0.9879077162819618,20190123
1.8352450064617858,2.0,0.3205882352941177,1.1317385675999783e-62,0.27075980471715944,0.7865757766050021,0.9904529082868929,20190128
1.8445983118730256,2.0,0.3263157894736842,1.4971646766420835e-63,0.41100163666880524,0.6810713345948636,0.9899211943999613,20190129
1.8764281868336081,2.0,0.35170178282009723,9.48231522188594e-69,-0.04674451541240809,0.9627168509334854,0.9877859076108101,20190130
2.0830968022152634,11.0,0.07471264367816093,0.0055771009785821725,-0.11847556954056664,0.9056908514297961,0.9967694164275746,20190220
2.090458395473481,17.0,0.05474452554744526,0.07215420207870593,-0.90117938852562,0.3674929480418426,0.9984881860890296,20190225
2.0746081448291003,17.0,0.0466786355475763,0.17099836254503975,-1.4865834861390221,0.1371248520052107,0.9984047148679853,20190226
2.098930132763331,18.0,0.0564373897707231,0.05194031436915614,-0.6263578588363344,0.5310802438828821,0.9983385093900227,20190227
2.1368866858550737,23.0,0.06476526070699917,0.0267227805957444,-1.0291962997288437,0.3033874407684398,0.9973883042754524,20190228
2.059052401279275,15.0,0.05720572057205721,0.005005106247301944,-2.0374026625457753,0.04160970727566952,0.9955617219056736,20190303
2.0851472959491,16.0,0.060470324748040316,0.0027900611915155026,-2.2903208553226135,0.02200272371537232,0.9972293859107408,20190304
2.1592108722389893,28.0,0.04066543438077634,0.3238572413427969,-0.858392132935096,0.3906759701910265,0.9979482980124285,20190306
2.1339646881212246,26.0,0.04693140794223827,0.16873959923760784,-1.7297775859532631,0.08367002053348893,0.9977492048302729,20190311
2.1364112432035816,26.0,0.04909090909090909,0.1365356359814036,-1.5838142971597142,0.1132359847807011,0.9977179184639791,20190312
2.0973067530143776,23.0,0.03826955074875208,0.33374155954083506,-2.273627352747934,0.02298840143957961,0.9963454513087957,20190313
2.0775721851608773,20.0,0.05029585798816568,0.06320621609107746,-2.395835289586726,0.016582540116138918,0.9958106911818212,20190314
2.200769715027654,35.0,0.03202239697745579,0.8292903118756894,-0.6379830674792725,0.5234847024730777,0.9970059890770181,20190317
2.1848736919090417,34.0,0.03233760142385356,0.8191708138402974,-0.9612268004103106,0.3364381437691254,0.9969019458203536,20190318
2.2186434565776354,33.0,0.039802909866926584,0.22548780252056422,0.6133431843799675,0.5396494448482497,0.9937043657956552,20190428
2.220427093255645,33.0,0.03875479530702386,0.253757994319904,0.6103701351160976,0.5416166468809259,0.9942089869217424,20190429
2.2233503508213905,34.0,0.037320903957262064,0.31602451302385215,0.7276544036118678,0.46682516858511314,0.9941270815685351,20190501
2.1835072029339715,30.0,0.03815206833724272,0.2565115384553639,-0.0749554064782042,0.9402501925065687,0.9947202944331309,20190506
2.171917963143653,28.0,0.03945578231292517,0.19737363461057456,0.0005534915116315669,0.9995583776908824,0.9941787900720453,20190507
2.1824127479303455,30.0,0.03831489589642878,0.26959912713390366,0.09720097348334895,0.9225667949796653,0.9939892246642655,20190508
2.182929458780592,30.0,0.036227174980435595,0.3462172439649174,0.34580673079012575,0.729487966446798,0.994631237488709,20190509
2.1823213185007155,27.0,0.03529411764705882,0.2895883073935436,-0.006375917973723157,0.9949127879556813,0.9973410845447611,20190617
2.179782551991969,26.0,0.043914680050188205,0.08975064285182666,-0.010365709643323609,0.9917295084219675,0.9975682258473738,20190618
2.1781415385449305,26.0,0.044136191677175286,0.08835600858083115,0.07736420255650005,0.9383338176243397,0.9974892600721771,20190619
2.1772556543979817,26.0,0.042606516290726815,0.10720346707449768,0.018696108459403955,0.985083532712987,0.9975742919760999,20190620
2.1710035442216613,25.0,0.04355454621613786,0.09192201089332719,0.2102779374303344,0.833450753719098,0.9977303171904638,20190623
2.1631402469757606,24.0,0.050970873786407765,0.026682947213204744,0.14351711413512422,0.885881796035053,0.9980672920841211,20190624
2.1554757082766804,24.0,0.048162230671736375,0.04977806349447533,0.09955510483948078,0.9206975378260125,0.9979621949824723,20190626
2.1300318133791922,25.0,0.04588600107070326,0.07832374474697013,-0.685907653727336,0.4927713434694564,0.9975341768354575,20190715
2.132198685409013,25.0,0.051741867941298106,0.03176193676350425,-0.4826220046274783,0.6293641520464301,0.9975011379522654,20190716
2.1319641626076713,25.0,0.04678084175622209,0.06487843138295046,-0.5238856998253708,0.6003580415859202,0.9974731699188264,20190717
2.1358078193101484,25.0,0.05221590312632837,0.026977100071194693,-0.5198031177860458,0.6032008060726111,0.9975136120948264,20190718
2.1299947564449466,26.0,0.052770448548812667,0.02829490860644135,-0.8973303735438158,0.36954265354409577,0.9976941163044705,20190721
2.1303360632193766,26.0,0.05643044619422572,0.015002387279437878,-0.8510749869911924,0.3947276990573224,0.9976356299963605,20190722
2.128283250401484,26.0,0.049738219895287955,0.044107426996738974,-1.0030790493104842,0.3158227222885749,0.9976350460199994,20190724
2.1319054939609945,28.0,0.047752808988764044,0.07527692765882144,-0.9856562819576772,0.3243018094455902,0.9974396722104877,20190729
2.142134043454731,30.0,0.043740573152337855,0.15356130443492333,-0.9440664236462984,0.3451357059631137,0.9971759501263067,20190730
2.137987149938458,30.0,0.04552352048558422,0.12628511125405084,-1.1764529453144226,0.2394139251634888,0.9970378889663097,20190731
2.126060921107565,26.0,0.045454545454545456,0.08049208998339119,-1.1015788182257726,0.27064482119350564,0.9974015714577403,20190801
2.1108498551889148,24.0,0.041112454655380895,0.1187867891545682,-1.525235813982069,0.12720029073318953,0.9978713760821802,20190804
2.1195425524335914,24.0,0.05186972255729795,0.022287558505525627,-1.2579378745151137,0.20841422492104422,0.9979752577746869,20190805
2.1298296706181388,24.0,0.05804111245465538,0.007297610556571051,-0.5254148555084206,0.5992948286856761,0.9978666203136206,20190807
2.0962325113809346,22.0,0.045714285714285714,0.050022949581653875,-1.5196821054245722,0.1285908911552668,0.9980204728128493,20190812
2.0989968763721922,22.0,0.04550625711035267,0.0508701835205323,-1.5839471339460771,0.11320575006495066,0.9981080149242935,20190813
2.099439036720228,22.0,0.049255441008018326,0.027962592585014878,-1.449749114929887,0.14712849404050565,0.9980793050423795,20190814
2.0718587215497175,20.0,0.05239687848383501,0.013997118825894043,-2.2905150968711463,0.021991474438129294,0.997868734414577,20190815
