timestamp,common_neighbor_centrality
20190120,80.05696976811193
20190121,87.6816404443737
20190123,86.75977297877458
20190128,83.44721226416291
20190129,82.92068270907387
20190130,79.54875864928192
20190220,191.469487581343
20190225,227.64375175167714
20190226,231.8188182384623
20190227,236.8646417515977
20190228,240.25514635751827
20190303,250.86035188336018
20190304,254.6869359905806
20190306,265.6133314480251
20190311,259.3799099683594
20190312,258.02220177301837
20190313,256.2420554852289
20190314,255.31342835524856
20190317,250.42819825783664
20190318,249.480794216204
20190428,316.21711883946637
20190429,316.29625504523017
20190501,316.7426328923107
20190506,314.18394300367265
20190507,313.83644438937785
20190508,313.28395869544244
20190509,312.58596380326475
20190617,323.3156902971794
20190618,323.03638956906985
20190619,323.0854383222833
20190620,326.7756334680907
20190623,326.3398172263682
20190624,325.84525056415276
20190626,324.5019120602238
20190715,320.1220678866579
20190716,321.4105775007699
20190717,322.6116498751664
20190718,323.40896667723473
20190721,323.82497192433914
20190722,324.5881469313638
20190724,326.69311284510167
20190729,329.49702212017803
20190730,328.92963221101144
20190731,327.2509602968924
20190801,327.26355391541034
20190804,330.57007655622095
20190805,331.42066178819425
20190807,332.4117908981928
20190812,333.50218275705123
20190813,334.10612275535203
20190814,333.43697348130735
20190815,330.89500718260035
20190818,329.80185934619897
20190819,329.68694355854024
20190821,328.1400510469357
20190826,330.7877890193742
20190827,331.96522256295896
20190828,332.4565034640979
20190829,332.6498389056851
20190901,331.40102685736537
20190902,330.9292002602313
20190904,335.8672074842667
20190909,338.92841820193576
20190910,339.37166454373687
20190911,340.5218188630895
20190912,337.92440138950707
20190915,336.390529753804
20190916,337.3285654525376
20190918,338.3385233727764
20190923,338.7206700962855
20190924,338.9010290601664
20190925,339.0669059999513
20190926,338.6664100493234
20190929,339.72648542704104
20190930,339.4351614331212
20191002,337.9348667856761
20191007,335.9187440983949
20191008,334.2342866922652
20191009,333.9334220669419
20191010,333.4352105634256
20191013,327.9195707723275
20191014,329.07929222382967
20191016,333.4096275330311
20191021,332.9783343042664
20191022,333.6023176655515
20191023,334.1923587042026
20191024,334.7959633221828
20191027,336.42186611062033
20191028,336.7924781520273
20191030,336.8381616076577
20191104,337.2885175919438
20191105,335.0479132233206
20191106,335.0626010259692
20191107,335.17978932883256
20191110,334.6499918658937
20191111,334.2950546736704
20191113,331.63232358482423
20191118,312.1939564328383
20200127,282.21714880040804
20200128,282.06493336758155
20200129,282.4509003450242
20200130,280.77874127757684
20200202,333.4170364794002
20200203,347.2073727769941
20200205,349.9507663766517
20200210,350.77925609937296
20200211,350.40668121255015
20200212,352.49884758737977
20200213,353.8355245203865
20200216,356.1529881215576
20200217,358.05536079007965
20200219,358.34009678660453
20200224,355.56199876505866
20200225,356.0026600011771
20200226,356.471530296195
20200227,356.6341293131725
20200301,356.5730271623322
20200302,358.47553802094467
20200304,357.9301045843964
20200309,358.5396961264343
20200310,358.27261526297906
20200311,357.5736783857515
20200312,356.7043215995008
20200315,354.63109582946146
20200316,355.5669962027677
20200318,355.92205028328897
20200323,336.9383941568601
20200324,337.53065188978445
20200325,338.0756524428472
20200326,355.782652180981
20200329,360.69363805943385
20200330,362.4722468814203
20200401,362.26848915348523
