date,nodes,edges,fname
2019-02-25,3014,18836,20190225.gml.gz.fix
2019-06-17,4305,30663,20190617.gml.gz.fix
2020-02-19,5070,29841,20200219.gml.gz.fix
2020-06-04,5016,24465,20200604.gml.gz.fix
2021-02-23,7729,31122,20210223.gml.gz.fix
2021-06-06,10130,41411,20210606.gml.gz.fix
2022-02-22,18152,74572,20220222.gml.gz.fix
2022-06-05,15855,78577,20220605.gml.gz.fix
2023-06-04,14910,62245,20230604.gml.gz.fix
