timestamp,closeness_vitality
20190120,0.0017743910159257103
20190121,0.0016478896460672473
20190123,0.0016722035989855833
20190128,0.0017553000137534636
20190129,0.0017718353793019675
20190130,0.0018740347940317428
20190220,0.0007786644375753589
20190225,0.0006672930559423164
20190226,0.0006549527108972132
20190227,0.0006433488624125362
20190228,0.0006353807241843971
20190303,0.0006043766584172907
20190304,0.00059568218807337
20190306,0.0005712029693041624
20190311,0.0005823110858415641
20190312,0.0005855534206436906
20190313,0.0005882509411844559
20190314,0.0005893973690724898
20190317,0.0005989211912242861
20190318,0.0006016223411449145
20190428,0.00048818556078202143
20190429,0.0004880649977032299
20190501,0.0004873795547094357
20190506,0.0004928711605840759
20190507,0.0004934411693717349
20190508,0.0004943030753076661
20190509,0.0004956317696616284
20190617,0.00046955077942826005
20190618,0.0004699027972659264
20190619,0.0004697655561060691
20190620,0.00046463982560446824
20190623,0.00046587759735008466
20190624,0.00046691631515983627
20190626,0.00046978666417210135
20190715,0.0004629475841074475
20190716,0.0004607720431743619
20190717,0.00045955418089746534
20190718,0.0004582301154154134
20190721,0.00045780996617098636
20190722,0.00045684012527765004
