timestamp,mean_betweenness_centrality
20190120,0.0017726152029554768
20190121,0.0016095593179653168
20190123,0.0016239243259964884
20190128,0.0016593320460086547
20190129,0.0016678684303738356
20190130,0.0017350231724199664
20190220,0.0006995148694908252
20190225,0.0005828899820838534
20190226,0.0005729424879177191
20190227,0.0005600637217260924
20190228,0.0005510393392265119
20190303,0.0005259376280527146
20190304,0.000520479232517091
20190306,0.0004973507629286678
20190311,0.0005093382315581917
20190312,0.0005115270353468534
20190313,0.0005170342788442775
20190314,0.0005193672207603179
20190317,0.0005317142111923844
20190318,0.0005340658418744869
20190428,0.0004167166078584064
20190429,0.0004166138197434002
20190501,0.0004161271292162902
20190506,0.0004202481742566804
20190507,0.00042068845015986734
20190508,0.0004213411614600671
20190509,0.0004220084219518756
20190617,0.00040926887800510483
20190618,0.0004096255142489304
20190619,0.00040958774253169145
20190620,0.0004058214801650466
20190623,0.0004067291089816771
20190624,0.0004069788799199498
20190626,0.0004108953546381118
20190715,0.0004205072082115131
20190716,0.0004189455110076297
20190717,0.0004180094929932338
20190718,0.00041621437099953734
20190721,0.00041501397317271477
20190722,0.00041396294418786063
20190724,0.0004133547225394764
20190729,0.00040996462918308743
20190730,0.0004109754327209127
20190731,0.0004122749920048232
20190801,0.00041175803354040095
20190804,0.00042168467359752495
20190805,0.00041991291036274156
20190807,0.00041671247017259255
20190812,0.0004162585407528687
20190813,0.0004155864982848025
20190814,0.0004177699022502966
20190815,0.0004204427538473301
20190818,0.00042230817180153316
20190819,0.00042221169778290175
20190821,0.00042324892318390886
20190826,0.0004194544568420628
20190827,0.0004170295372659252
20190828,0.00041656104395048596
20190829,0.0004163929708251735
20190901,0.0004170632832505038
20190902,0.000417278416825809
20190904,0.0004106316360846268
20190909,0.00040872681253537925
20190910,0.00040884862134005294
20190911,0.0004074863307021294
20190912,0.0004098075554967639
20190915,0.0004117742122878764
20190916,0.0004105342722203904
20190918,0.00040914673284574897
20190923,0.00040847346215435994
20190924,0.00040825919090795634
20190925,0.0004069997888233163
20190926,0.0004072826556086914
20190929,0.0004067075464579733
20190930,0.0004070288326247266
20191002,0.00040947609112542213
20191007,0.00041307748332917684
20191008,0.0004152200480735947
20191009,0.00041559021461558883
20191010,0.0004161546287654214
20191013,0.0004180806994902763
20191014,0.0004170784835875396
20191016,0.00040934063829256557
20191021,0.0004112644003680828
20191022,0.00041038196985082603
20191023,0.00040954568456899674
20191024,0.0004088455041841531
20191027,0.0004059790444598417
