timestamp,information_centrality
20190120,28.547145311244364
20190121,29.441096682079504
20190123,30.591802386700277
20190128,33.70737893163039
20190129,33.99569691280971
20190130,38.91881717471889
20190220,44.13689476988857
20190225,45.547743874117934
20190226,44.31848828375296
20190227,43.962200326669674
20190228,45.50900121101557
20190303,44.144329755472995
20190304,46.518149001011906
20190306,43.62697478917902
20190311,43.760686653141086
20190312,45.69303432201868
20190313,46.386393308476656
20190314,46.49274038690964
20190317,47.36111876342725
20190318,48.515492019770804
20190428,32.67098462366362
20190429,32.56053770678829
20190501,32.37794309637498
20190506,32.37804841892859
20190507,32.77658235658753
20190508,33.23082373597913
20190509,33.588457367293024
20190617,25.7630714161449
20190618,25.82729882851973
20190619,25.812766464092757
20190620,25.317895318623634
20190623,25.42941442886325
20190624,25.570889800681453
20190626,26.000122276137358
20190715,22.621641185901414
20190716,22.405142210998562
20190717,22.389171868013285
20190718,22.325944023514015
20190721,22.265007568926666
20190722,22.07966709598499
20190724,21.425848641994683
20190729,21.157088292383254
20190730,21.035438602110982
20190731,21.044370427420507
20190801,21.197837989256925
20190804,17.885775426078265
20190805,18.343537583935664
20190807,17.757458514423654
20190812,17.485012212333285
20190813,17.368453043646443
20190814,17.36470387878416
20190815,17.391048185609478
20190818,17.649113451236428
20190819,17.611446726057196
20190821,17.597587442018572
20190826,17.15008101137984
20190827,17.215784588046198
20190828,17.06725885924528
20190829,17.035450421553133
20190901,17.144657221103618
20190902,17.12068300572141
20190904,17.198234831034714
20190909,17.213479787192487
20190910,17.112381779934008
20190911,17.024326310216118
20190912,17.111304995375633
20190915,16.931490194706576
20190916,16.88427209585988
20190918,16.854242266919915
20190923,16.517941404007907
20190924,16.559263614805953
20190925,16.67675387781836
20190926,16.588625429929177
20190929,16.59261426549512
20190930,16.57403237457842
20191002,16.64927215263991
20191007,16.726915232826762
20191008,16.816495769067625
20191009,16.765068427068268
20191010,16.75771849431257
20191013,18.585904016137253
20191014,18.38582221150697
20191016,17.93329442483558
20191021,17.385026679770224
20191022,17.36930985167015
20191023,17.346565950186513
20191024,17.307552762844644
20191027,17.239689781478177
20191028,17.19826264061213
20191030,17.17938569984362
20191104,16.73306000373172
20191105,16.71328079018809
20191106,16.580918555252666
20191107,16.54694602747209
20191110,16.58264858435153
20191111,16.595368910908064
20191113,17.261264800008785
20191118,17.515537419503005
20200127,1.740618481852727
20200128,1.7408583635988526
20200129,1.739342643976978
20200130,1.7384106511429431
20200202,1.703851825181145
20200203,1.6966605280152753
20200205,1.6963246847085787
20200210,13.113651135109205
20200211,13.027471161946274
20200212,12.949656540583431
20200213,12.93825519755462
20200216,12.862640435723685
20200217,12.908361870934385
20200219,13.031530214534342
20200224,12.97466690365687
20200225,12.927478600082544
20200226,12.84928627454158
20200227,12.774625787274635
20200301,12.451724944338237
20200302,12.390618766779463
20200304,12.38248573300616
20200309,12.220388338291077
20200310,12.182666596770733
20200311,12.176228000537542
20200312,12.20799653484153
20200315,12.35708560536317
20200316,12.287225703347842
20200318,12.186462385188602
20200323,12.826808526258029
20200324,12.794971889142015
20200325,12.803792257778639
20200326,11.702075497177548
20200329,11.558489766318848
20200330,11.502184470923366
20200401,11.501554386213826
20200406,11.429418832199815
20200407,11.389893680828667
20200408,11.382242395043386
20200409,11.348795804986949
20200412,11.387212436527927
20200413,11.332078956899247
20200415,11.388716360415144
20200420,11.166338496965313
20200421,10.828394277986938
20200422,10.770186986775602
20200423,10.757273263823004
20200426,2.242731733347085
20200427,2.2420241221260886
20200429,10.200580133639127
20200504,9.946804504807139
20200505,9.963922938659689
20200506,9.967363475668835
20200507,9.924483942635025
20200510,9.962373820874614
20200511,9.838430676677122
20200513,9.775464071098448
20200518,9.707990184765963
20200519,9.708531171324825
20200520,9.686419714440216
20200521,9.576609823409663
20200524,9.298455322437578
20200525,8.712383089966684
