timestamp,preferential_attachment
20190120,26.956431612758646
20190121,30.932245770075887
20190123,30.56720979292733
20190128,27.58790733178123
20190129,25.4719407771296
20190130,21.238508088686263
20190220,71.1890090059834
20190225,117.5107764573711
20190226,119.05525387922064
20190227,125.98847503578438
20190228,138.56275032587868
20190303,156.05506094753255
20190304,159.76297864815285
20190306,162.0717631904695
20190311,151.86641934134752
20190312,150.80485183570363
20190313,147.14758030975628
20190314,142.97293329915965
20190317,132.96513787811048
20190318,131.4710058036529
20190428,194.06179188289474
20190429,193.817076752499
20190501,193.52957344589737
20190506,191.7212971292129
20190507,190.4893267835226
20190508,189.2871904873077
20190509,187.5927151964602
20190617,156.1565450978086
20190618,156.3141722996799
20190619,156.03413655925104
20190620,156.50098265856028
20190623,155.02874422844866
20190624,154.8850382781882
20190626,154.23910147297082
20190715,137.30043644778308
20190716,137.06266884681645
20190717,138.56963950192173
20190718,138.64310517806817
20190721,142.35716544757838
20190722,143.02286735843845
20190724,143.78938616474312
20190729,144.88124640026743
20190730,142.3044098434491
20190731,139.74651636939686
20190801,140.6872578323256
20190804,131.9439124928637
20190805,131.08714457197638
20190807,128.4693371895044
20190812,126.21931663150552
20190813,125.66930741900158
20190814,125.10439641555995
20190815,115.98202023658281
20190818,117.70475854211308
20190819,117.76564998111405
20190821,116.58695431314875
20190826,117.05105606018627
20190827,118.17280719804567
20190828,118.06629364112348
20190829,117.9539755495538
20190901,117.3055672387525
20190902,116.9850612835352
20190904,118.7940812604577
20190909,120.87389428322768
20190910,120.91799471724616
20190911,120.60115334239016
20190912,118.5434902039963
20190915,119.43220220526237
20190916,119.2995299119697
20190918,119.29161193516578
20190923,118.88955813708624
20190924,119.51415920954017
20190925,119.4104215487213
20190926,119.21082801422955
20190929,118.8701468407501
20190930,119.22796913432786
20191002,120.04193054670054
20191007,118.23317935368293
20191008,116.58346401819313
20191009,115.26032663805867
20191010,114.41084976237786
20191013,116.68076958478417
20191014,116.24803772157712
20191016,116.94793667463878
