timestamp,gini_betweenness_centrality
20190120,0.9322856681848439
20190121,0.9391417129854
20190123,0.9395412390924212
20190128,0.9428102212559107
20190129,0.9452737133523762
20190130,0.9483743627239892
20190220,0.9659860458640754
20190225,0.9631627436267994
20190226,0.9629660171826881
20190227,0.962351342247816
20190228,0.9606292507216897
20190303,0.9580209123575962
20190304,0.9577863603859926
20190306,0.9598079670275766
20190311,0.9601336139763129
20190312,0.9606057556063033
20190313,0.9602090497195325
20190314,0.9604743750843979
20190317,0.9610248426355146
20190318,0.9614673751089536
20190428,0.9650421328326554
20190429,0.9650954134956243
20190501,0.965085315348382
20190506,0.9651573583917334
20190507,0.9652944966959373
20190508,0.965564851614619
20190509,0.9660816470058915
20190617,0.9639343923247474
20190618,0.9638520286934045
20190619,0.9638891484723273
20190620,0.9641248257049667
20190623,0.9646947838175075
20190624,0.965055503030427
20190626,0.9652293580978287
20190715,0.9653033118604597
20190716,0.9652128339580577
20190717,0.9652813671721663
20190718,0.9653623841190225
20190721,0.964852435233493
20190722,0.9650321722866257
20190724,0.9652415664134524
20190729,0.9653628257621474
20190730,0.9650814185969024
20190731,0.9643992817369137
20190801,0.9643754370524251
20190804,0.967196474176632
20190805,0.9675028685112305
20190807,0.9672656874021387
20190812,0.9680920158139934
20190813,0.9681240876948793
20190814,0.9680746033905518
20190815,0.9676302894665568
20190818,0.9668214736894345
20190819,0.9668167595784921
20190821,0.9671421761546183
20190826,0.9678515411458722
20190827,0.9671931088839621
20190828,0.9671879938821774
20190829,0.9672237170325096
20190901,0.9673556931990072
20190902,0.9673617731577947
20190904,0.9672738097016332
20190909,0.9670640359136097
20190910,0.9669588148021228
20190911,0.9669961231246865
20190912,0.9671593222525062
20190915,0.9666167345662704
20190916,0.9667410115749966
20190918,0.9669162720749037
20190923,0.9661776707038273
20190924,0.9659241059760482
20190925,0.9661700134491997
20190926,0.9663435654887909
20190929,0.9663024824781971
20190930,0.966262517469311
20191002,0.9661932235985148
20191007,0.9658706965043453
20191008,0.9659289108648049
