timestamp,mean_degree
20190120,6.23570800351803
20190121,6.795417348608838
20190123,6.75249169435216
20190128,6.402439024390244
20190129,6.16505706760316
20190130,5.643122676579925
20190220,12.442812982998454
20190225,17.07564698075647
20190226,17.247802018886357
20190227,17.870163095618803
20190228,19.405371248025276
20190303,21.306330633063308
20190304,21.62240663900415
20190306,22.22215909090909
20190311,21.619763074255996
20190312,21.539087474571346
20190313,21.26205083260298
20190314,20.923302107728336
20190317,19.919642857142858
20190318,19.689593301435405
20190428,27.00725338491296
20190429,26.93062605752961
20190501,26.811006517016654
20190506,26.054700854700855
20190507,25.726161369193154
20190508,25.445859872611464
20190509,25.063390663390663
20190617,24.418583042973285
20190618,24.39014182748198
20190619,24.30915853091585
20190620,24.28255867464335
20190623,23.746595891991692
20190624,23.525792273883877
20190626,23.038228438228437
20190715,22.94930029823354
20190716,22.957534246575342
20190717,23.09612756264237
20190718,23.099659477866062
20190721,23.43336355394379
20190722,23.494684460529292
20190724,23.517132551848512
20190729,23.521787709497207
20190730,23.394589760786943
20190731,23.25799955247259
20190801,23.356455582904452
20190804,22.579175704989154
20190805,22.472090004327132
20190807,22.22902738839767
20190812,21.981111826572224
20190813,21.944396920444824
20190814,21.8426243567753
20190815,20.851246775580396
20190818,21.057679844458846
20190819,21.0293990488543
20190821,20.88999783033196
20190826,20.926293103448277
20190827,21.169422374919478
20190828,21.153021860265753
20190829,21.153319057815846
20190901,20.929752953813104
20190902,20.841539453880888
20190904,21.478389830508476
20190909,21.66708807416772
20190910,21.681550126368997
20190911,21.626940830885438
20190912,21.560388513513512
20190915,21.56022052586938
20190916,21.524212307041658
20190918,21.474794347184137
20190923,21.393990334103805
20190924,21.4842503149937
20190925,21.38694100356918
20190926,21.366007572570467
20190929,21.383259911894275
20190930,21.423351532969342
20191002,21.494403379091867
20191007,21.115874363327674
20191008,20.976972281449893
20191009,20.831662043951354
20191010,20.7482905982906
20191013,20.922669023420237
20191014,20.83784378437844
20191016,21.24940411700975
20191021,21.108038029386343
20191022,21.12405609492988
20191023,21.19905213270142
20191024,21.202752096323373
20191027,21.311804961505562
20191028,21.272533105510465
20191030,21.14706510138741
20191104,21.0936233738537
20191105,20.87723070307461
20191106,20.83877901977644
20191107,20.837269214255045
20191110,20.635875402792696
20191111,20.57247311827957
20191113,20.173385348938016
20191118,16.545454545454547
20200127,19.220861900097944
20200128,19.272905438510534
20200129,19.229941291585128
20200130,19.287401574803148
20200202,18.599115230672002
20200203,19.502746693794506
20200205,20.130637007077855
20200210,20.302395812361585
20200211,20.335011073082345
20200212,20.3574144486692
20200213,20.473379860418742
20200216,20.501287893798295
20200217,20.680213059775102
20200219,20.664694280078894
20200224,20.480922098569156
20200225,20.473391580619538
20200226,20.46193497224425
20200227,20.365616953852246
20200301,20.18167425291906
20200302,20.05295155912924
20200304,20.06433895645351
20200309,19.852388410336726
20200310,19.741872307089697
20200311,19.55246126691508
20200312,19.44575471698113
20200315,19.078081648830757
20200316,19.01599210266535
20200318,19.106868726628615
20200323,18.7325509573811
20200324,18.719128826792687
20200325,18.687448728465956
20200326,18.966822794691648
20200329,19.19252984212553
20200330,19.12588618509293
20200401,19.17746262935991
20200406,18.67484662576687
20200407,18.793869731800765
20200408,18.775033505648096
20200409,18.853154875717017
20200412,19.09994288977727
20200413,19.066768118698878
20200415,19.03073105554495
20200420,18.92812440735824
20200421,18.75931822438659
20200422,18.834140887066717
20200423,18.775540641312453
20200426,18.199704142011836
20200427,18.151124216734242
20200429,18.23827909542195
20200504,17.919766593727207
20200505,17.90257252326218
20200506,17.381898454746135
20200507,17.338700823421775
20200510,17.812116840966464
20200511,17.706762849413888
20200513,17.64663155983294
20200518,17.700561899583107
20200519,17.68865530989489
20200520,17.626425339366516
20200521,17.586132566912163
20200524,16.923932543954074
20200525,17.229858245110353
20200527,17.144392690791832
20200601,16.736822973464196
20200602,16.667997821746233
20200603,16.608947654410432
20200604,15.425438596491228
20200610,16.44853778959362
20200615,17.266900175131347
20200616,17.335891175444715
20200617,17.317888869534926
20200618,17.287080507737784
20200621,17.455425017277125
20200622,17.467102996899758
20200624,17.47487393496783
20200629,17.46597760551249
20200630,17.49161334947259
20200701,17.58025543665861
20200702,17.595311961392625
20200705,17.60800410466906
20200706,17.562393162393164
20200708,17.54444634021498
20200713,17.61467889908257
20200714,17.630397823869433
20200715,17.631292517006802
20200716,17.597687468117666
20200719,17.524651479088746
20200720,17.542905692438403
20200722,17.491755906850248
20200727,17.29775662814412
20200728,17.292579385294616
20200729,17.28229502631132
20200730,17.269393990833475
20200802,17.173522938886066
20200803,17.18166441136671
20200805,16.923780487804876
20200810,17.092377587077234
20200811,17.25331971399387
20200812,17.23903770687596
20200813,17.232264665757164
20200816,17.079856972586413
20200817,17.06809669731018
20200819,17.09267793138761
20200824,16.86999488839666
20200825,17.1571646083573
20200826,17.108813559322034
20200827,17.102199661590525
20200830,17.118706853005556
20200831,17.22599059771659
20200902,17.14535078885532
20200907,17.138893531673073
20200908,17.17188025563404
20200909,17.22788203753351
20200910,17.356498496491813
20200913,17.395961955614883
20200914,17.34003350083752
20200916,17.29809300769488
20200921,16.91968609116714
20200922,16.84975494338347
20200923,16.86052809749492
20200924,16.844064386317907
20200927,16.971743855542552
20200928,16.974677175918163
20200930,16.924471299093657
20201005,17.163203753351205
20201006,17.253872053872055
20201007,17.243865290235235
20201008,17.278294704787683
20201011,17.282138024357238
20201012,17.22923700202566
20201014,17.146738219017273
20201019,17.097321577108634
20201020,17.047904191616766
20201021,16.98969757394483
20201022,16.958270989193682
20201025,16.67189324437031
20201026,16.677118078719147
20201102,16.284558327714095
20201103,16.22222222222222
20201104,16.091261155076612
20201105,16.04056109514957
20201108,15.93124368048534
20201109,15.858051556745899
20201117,16.064863102998697
20201118,16.09117551286226
20201119,16.09512987012987
20201122,16.053732303732303
20201123,16.07418111753372
20201201,15.5941204362257
20201202,15.56707220729973
20201203,15.555555555555555
20201206,15.535264483627204
20201207,15.541405269761606
20201215,15.535630750038983
20201216,15.546221111805123
20201220,15.454460240587409
20201221,15.461382430956467
20201229,15.272503462071088
20201230,15.171982298184037
20210103,15.119687640786905
20210104,15.060428849902534
20210112,15.059413238979802
20210113,15.05241460541814
20210117,14.928790758882878
20210126,14.81149885583524
20210127,14.808437856328393
20210131,14.678784436239704
20210209,14.56469298245614
20210210,14.5693930675435
20210214,14.537549407114625
20210223,13.989131841117867
20210224,13.91937984496124
20210228,13.802440884820747
20210309,14.125412541254125
20210310,14.151215805471125
20210314,14.160070805411557
20210323,13.916816925111192
20210324,13.922009569377991
20210328,13.7503175886361
20210406,13.777405296681193
20210407,13.747460087082729
20210411,13.852522353460646
20210420,13.80645869947276
20210421,13.764538073293833
20210425,13.575234767416466
20210504,13.712105151579394
20210505,13.797444291899884
20210509,13.989572471324296
20210518,14.473323092677932
20210519,14.427166564228642
20210523,14.32162964479476
20210601,14.539323594156494
20210602,14.574910107870556
20210606,14.802171767028629
20210615,14.912219978848187
20210616,14.951914771091275
20210620,15.066641423703143
20210629,15.03151649981461
20210630,15.024174201882266
20210704,15.01224191485474
20210713,15.866524671636492
20210714,15.957861189801699
20210718,16.1643954517837
20210727,16.711092222694433
20210728,16.70342396777442
20210801,16.920009926379354
20210810,17.327459147709067
20210811,17.362895493767976
20210815,17.314622641509434
20210824,17.24635922330097
20210825,17.226571946795648
20210829,17.156537207233917
20210907,17.279478827361565
20210908,17.106120075592383
20210912,17.380817654548025
20210921,17.30420936028801
20210926,16.907162181403958
20211010,16.437925170068027
20220222,13.513001322168357
20220227,16.042798877059166
20220308,16.166289294929175
20220313,16.06762726125368
20220322,16.03091060985798
20220327,16.114962932024643
20220405,15.946211804102134
20220410,16.155362691524697
20220419,16.121221830609848
20220424,16.15075483733787
20220503,18.528283079990032
20220508,18.65282423477438
20220517,18.526853897128433
20220522,18.52870090634441
20220531,18.4849815012228
20220605,18.219867549668873
20230604,14.916431924882628
20230618,14.961242350463907
20230702,15.585789755761427
20230716,15.173509933774834
