alpha,xmin,KS_stat,KS_pvalue,LRatio,LR_pvalue,r_squared,timestamp
2.9551757812500004,36.0,0.10913009185657199,0.8156013420310559,0.2798011457482976,0.7796300726191335,0.9840884272898864,20190120
2.0877903872591137,2.0,0.3049645390070922,1.0926927428048298e-58,2.1977078378000368,0.027969932660046964,0.9702011313416518,20190121
2.096092377590282,2.0,0.30703012912482064,7.918829428898838e-59,2.167024780952901,0.030232964620560604,0.9698886067894328,20190123
2.1208291853087826,2.0,0.31317829457364343,1.0326976663108734e-56,2.2260609267225773,0.026010100692686857,0.9681963875970461,20190128
2.147360701283209,2.0,0.3179650238473768,4.7590114392373024e-57,2.168177451213709,0.03014518774860638,0.9693199414237775,20190129
2.2206549768807116,4.0,0.22758620689655173,1.1043601620604449e-13,0.9234868126458253,0.35575356957900306,0.9812981172611259,20190130
2.2349681124007286,11.0,0.08108108108108109,0.005491965293752416,1.8110378193456451,0.07013499761339087,0.9919694235421954,20190220
2.2142891430732643,15.0,0.06147540983606557,0.04793864715797047,0.6673034432199855,0.5045783274633883,0.99410169259352,20190225
2.2211169155161294,16.0,0.055674518201284794,0.10647595668721799,0.6738195286159495,0.500426057695504,0.9943661257639101,20190226
2.2340756974013187,16.0,0.06464646464646465,0.030520335666458176,0.7914508512216277,0.42868094593890793,0.9944370176039268,20190227
2.259717860846944,19.0,0.05145413870246085,0.18104416959823766,0.5937780916405679,0.5526605440996172,0.9940512561778219,20190228
2.2577472566824923,21.0,0.03807060124446998,0.5222718473977552,0.39064389844142233,0.6960604725803246,0.9949514348515258,20190303
2.2342618716424916,20.0,0.03991596638655462,0.4232250927033785,0.10486373661555208,0.9164839342607893,0.9953294455530804,20190304
2.2239190390190458,18.0,0.06761565836298933,0.01117615952733738,0.2731129655020026,0.7847663804489388,0.9962490336013673,20190306
2.210879930776593,17.0,0.061837455830388695,0.02525517399849997,0.143284572475102,0.886065439490585,0.9962056902496275,20190311
2.2136104980471885,17.0,0.06405693950177936,0.018985294926479504,0.2583814751573145,0.7961125120066378,0.995943178788341,20190312
2.216185648845671,18.0,0.0673076923076923,0.017144916736880494,0.04194013582660849,0.9665464207682392,0.9957605939426469,20190313
2.2294550613524207,20.0,0.05482456140350877,0.12425904413563771,0.025551306408555206,0.9796152252312021,0.9948964240862255,20190314
