timestamp,ks_stat,ks_p,wasserstein_distance
20190121,0.010485715560660825,0.9999998176447219,278860.6780014217
20190123,0.0049276552245379555,0.9999999999999997,82550.84682803904
20190128,0.009095697269265051,0.9999999992846879,139551.18463527464
20190129,0.007822896177036522,0.9999999999998115,237787.96528146678
20190130,0.016487919031564244,0.9974568317696435,384940.22899074643
20190220,0.1131846727532851,6.125583402466216e-09,7417274.233438982
20190225,0.04654784626918789,0.00459443186399104,1925166.650166754
20190226,0.00829494919724451,0.9999118359398471,169618.94847297802
20190227,0.010001960842097854,0.997231025569194,300968.97579548706
20190228,0.05490850468654248,0.00014378446894522954,589518.9866244573
20190303,0.07790940231463905,5.053768713853251e-09,815805.7294934024
20190304,0.015089090414672766,0.8315409708033321,241393.28570713298
20190306,0.011933502182464839,0.9634311230872732,483092.6973063399
20190311,0.01259915683853852,0.9397910577886469,271525.8586936613
20190312,0.003940197665673242,0.9999999999999956,80447.2176604631
20190313,0.006068747212622138,0.9999999227246725,112115.78819003634
20190314,0.006117608463479931,0.9999999021444177,86943.77406771808
20190317,0.027176034348165495,0.15966798288075618,378443.921637235
20190318,0.014453748006379585,0.8674925330965119,186485.81232237958
20190428,0.10100656622213174,7.11802739155279e-17,5779532.028805092
20190429,0.0042576451880912405,0.9999999999996311,250867.2504811192
20190501,0.007394633862616675,0.999809603669432,108048.04162284039
20190506,0.02763724327808325,0.08379078629966857,408913.9411852893
20190507,0.007843365545077037,0.9994881759046377,178223.8632232664
20190508,0.008202748305219767,0.9989127747393051,133583.75896225747
20190509,0.016185879880147396,0.6506623829147906,200052.63786556973
20190617,0.05541667736789688,4.968857865264941e-06,2027301.378486983
20190618,0.0022514819096442202,0.9999999999999988,25223.35736237066
20190619,0.004088818067565834,0.9999999999998985,39770.10677259462
20190620,0.003485252741530336,0.9999999999999979,186558.52974312205
20190623,0.019100198404585406,0.39980198318920335,474328.5408534924
20190624,0.006537202803034174,0.9999798166732852,311270.37264668895
20190626,0.018738767593729427,0.42866905049105847,285037.59290265955
20190715,0.028832718096310665,0.053441182052176794,533351.9289425435
20190716,0.0022409940698978966,0.9999999999999996,94333.0749439814
20190717,0.012182627599047233,0.8948402125355867,167842.6665231124
20190718,0.001292277619913176,1.0,58710.951762221426
20190721,0.005721883255140506,0.9999993555013132,369740.5761967724
20190722,0.006038311749966112,0.9999966830080682,341236.07449073216
20190724,0.0022028848705324556,0.9999999999999992,108814.38694786253
20190729,0.010872394980630796,0.9510973923349759,206577.3656695001
20190730,0.002227193077771408,0.9999999999999988,310022.9295512943
20190731,0.0022564966387669896,0.9999999999999988,285633.11347766814
20190801,0.005370328932647125,0.9999999527358607,241341.13086540793
20190804,0.02113872912893789,0.25752503589243175,1102485.2395019243
20190805,0.0056352200313318085,0.999999184857961,354392.5927509685
20190807,0.005892858292661692,0.9999968400033997,294895.64952667593
20190812,0.005801622799118099,0.9999978528641545,215329.4174410682
20190813,0.0025924601904644393,0.999999999999998,98000.76984427174
20190814,0.0037625068412550054,0.9999999999999801,138080.24456721242
20190815,0.017900598646960527,0.4370545283462223,1501578.9813766973
20190818,0.013489576628853167,0.7845870966424436,346915.85689630714
20190819,0.0059906824370916,0.9999949497593247,326603.66902074375
20190821,0.013937045107239103,0.7528424384878047,120804.40476505668
20190826,0.010170599501724512,0.967637262885747,203743.02969986558
20190827,0.013956280127061228,0.7477277859172861,117636.67744632662
20190828,0.002692599142127209,0.9999999999999969,73899.43268133124
20190829,0.0019053501983917556,0.9999999999999988,56403.65794684321
20190901,0.010864650153986986,0.941834896944955,439539.88179082493
20190902,0.004341581600898459,0.9999999999744544,285382.9578653247
20190904,0.009008268679234281,0.9900440607893908,334969.5198853782
20190909,0.003896412322241031,0.9999999999999143,202775.48906080742
20190910,0.002467559255326438,0.9999999999999961,45691.80851893095
20190911,0.002366170653473901,0.9999999999999992,61317.29122251063
20190912,0.004419678805956607,0.9999999998969374,133842.18286987935
20190915,0.00578160460078399,0.9999975478418521,409846.8251604973
20190916,0.006102242833859834,0.9999893519870386,348782.2408080104
20190918,0.003376688751374933,0.9999999999999942,122493.84467904625
20190923,0.007834000423447503,0.9983063828892781,230053.59689905896
20190924,0.003264929448206581,0.9999999999999947,63641.146694135736
20190925,0.002150043079339967,0.9999999999999989,163512.4876291397
20190926,0.002089624560940803,0.9999999999999992,101867.32328420295
20190929,0.006821588153515452,0.9998509206277427,330422.91192306887
20190930,0.005891247813810244,0.9999953506831043,312765.62311069743
20191002,0.0015181343680412559,1.0,123876.57378904943
20191007,0.00831752670841528,0.9961397345049504,203005.05818350968
20191008,0.0032004662595342473,0.9999999999999969,153819.37590828422
20191009,0.003563774592246485,0.9999999999999833,62227.28303220922
20191010,0.00396591590852312,0.9999999999998064,54389.75828557358
20191013,0.008972753813672947,0.9914614491162701,380746.9317873843
20191014,0.00758220320485429,0.9993115303755749,366026.8290572921
20191016,0.0139190733807942,0.7588424575714044,321962.1377339575
20191021,0.003901542356994169,0.9999999999999528,187409.04604688854
20191022,0.0018217985546446329,0.9999999999999992,115677.91132209834
20191023,0.0037393676329856335,0.99999999999998,199397.76378470016
20191024,0.001394075074402701,1.0,51867.86659027014
20191027,0.00756871550384503,0.99915712151391,348296.35779708205
20191028,0.006784898501039052,0.9998869586284332,344576.7321034954
20191030,0.003347956728851429,0.9999999999999942,128415.78234493654
20191104,0.0032190965344309317,0.9999999999999946,107284.49798868835
20191105,0.005463548016673652,0.99999963725357,142762.46348065799
20191106,0.0015458172162422933,0.9999999999999996,80769.21782071514
20191107,0.0018344164774256478,0.9999999999999992,46955.7054108317
20191110,0.009738924382661248,0.9778057951239875,456256.94243056304
20191111,0.0058200801543028076,0.9999976215940425,341077.9195995058
20191113,0.01471118754981333,0.689621757451637,246229.93752698158
20191118,0.030620350379436,0.028633089151832044,2166307.72628739
20200127,0.15091034281456467,1.7321823192979526e-42,2468964.758337405
20200128,0.0029750064903561226,0.9999999999999953,80260.08165838444
20200129,0.00342633546542455,0.999999999999995,90785.32884509218
20200130,0.0034285097924403284,0.9999999999999976,111527.70002877079
20200202,0.09450109600924911,1.8092906833344436e-17,1899969.0001665766
20200203,0.01711891281766864,0.471529375288259,877112.1232628125
20200205,0.0074629675155088475,0.998949946147119,352683.00866281823
20200210,0.006560182950649209,0.9999001162534211,224520.68749383325
20200211,0.0032212603180994566,0.9999999999999999,76948.93496728435
20200212,0.0021803297400223905,0.9999999999999997,119719.18660552957
20200213,0.002668719875993393,0.9999999999999978,89446.49825683255
20200216,0.00815773404968372,0.9954835363725768,314383.8033025444
20200217,0.009909494273263167,0.9619101269549254,493538.2765526092
20200219,0.0028751941160700283,0.9999999999999953,115583.15743997322
20200224,0.004316673094953638,0.9999999998596879,189848.30299159593
20200225,0.0028046080935862742,0.9999999999999957,71185.87342505416
20200226,0.002856672245321394,0.9999999999999959,63787.31393704324
20200227,0.0014862279871376294,0.9999999999999997,104333.88584043532
20200301,0.01307965629684818,0.7729907908544996,441099.9669666774
20200302,0.005091820000794093,0.9999998653987926,356158.30087637814
20200304,0.0024586933137375456,0.9999999999999961,108962.89538210358
20200309,0.006516827733202911,0.9998826470261892,210613.339695827
20200310,0.0033057980523167273,0.999999999999984,84686.26157725781
20200311,0.0033742397974088757,0.9999999999999818,167983.01813886932
20200312,0.004911093678499052,0.9999999601624657,135776.5718667803
20200315,0.008654809712905422,0.9901796002144145,544213.7387111005
20200316,0.008038425556939337,0.9961675224287388,331530.361435277
20200318,0.0032393682365423476,0.9999999999999928,194694.13552303848
