timestamp,density
20190120,0.002744589790280823
20190121,0.002782726186981506
20190123,0.002806521901226999
20190128,0.002790949879856253
20190129,0.0027087245463985766
20190130,0.0026247082216650816
20190220,0.0024048730156549
20190225,0.0028336619616257004
20190226,0.002809088276691589
20190227,0.002858311435639604
20190228,0.0030665883767423004
20190303,0.0031972284863540376
20190304,0.003205218891047161
20190306,0.0031574536929396264
20190311,0.0031242432188231207
20190312,0.0031306813189783934
20190313,0.0031066701976333985
20190314,0.00306344101138043
20190317,0.0029651150427423127
20190318,0.0029448987887279996
20190428,0.003265689647510636
20190429,0.003255636612370601
20190501,0.0032364807480705763
20190506,0.0031820592152785607
20190507,0.003145776640889356
20190508,0.0031176010625596014
20190509,0.003079797328998607
20190617,0.0028367313014606515
20190618,0.002836063003195579
20190619,0.0028259891340288133
20190620,0.002794310549441122
20190623,0.0027408351675890686
20190624,0.0027216326091952657
20190626,0.002685734254864588
20190715,0.002633008294886822
20190716,0.002621321562751238
20190717,0.0026311377947872373
20190718,0.002622577143263631
20190721,0.002656241617994082
20190722,0.0026577697353539925
20190724,0.0026513114489118954
20190729,0.0026287201284641492
20190730,0.0026156741682454095
20190731,0.0026027304781191347
20190801,0.0026137483866276244
20190804,0.0024494657957245774
20190805,0.00243151807015009
20190807,0.00239743608589276
20190812,0.0023595010548059497
20190813,0.0023469943230422273
20190814,0.0023421214193411217
20190815,0.0022415874839368305
20190818,0.0022750302338438682
20190819,0.0022734485458220867
20190821,0.002266709834020395
20190826,0.002255474574633356
20190827,0.0022733486227361982
20190828,0.002267204915355386
20190829,0.002265294394711485
20190901,0.002248576810680394
20190902,0.0022410257477291275
20190904,0.0022757353073223643
20190909,0.0022831494282579265
20190910,0.002283710778003897
20190911,0.0022693537073332046
20190912,0.0022767041724935074
20190915,0.002286343640070984
20190916,0.002276249186446876
20190918,0.0022652736653147824
20190923,0.002248212519346764
20190924,0.002256274975319649
20190925,0.0022455838936968897
20190926,0.002247633870457655
20190929,0.0022433130415331804
20190930,0.0022498793880455096
20191002,0.002270215819506957
20191007,0.0022411244282878025
20191008,0.0022368279250852947
20191009,0.0022227552330293804
20191010,0.002217171468079782
20191013,0.0023118971296596947
20191014,0.0022928965431754443
20191016,0.002302709592220389
20191021,0.002280963694552231
20191022,0.002279246449604001
20191023,0.0022838884004203214
20191024,0.0022798658168089645
20191027,0.002279337429038028
20191028,0.002272221011056448
20191030,0.0022573724489098426
20191104,0.0022497465202489016
20191105,0.002244863516459635
20191106,0.002240247153276332
20191107,0.00223719875609352
20191110,0.0022170042332179517
20191111,0.0022125697051279384
20191113,0.0021865798123713435
20191118,0.0018853070357172455
20200127,0.0023537670707932824
20200128,0.0023612969172397127
20200129,0.0023525741731814445
20200130,0.002373541911740481
20200202,0.0019594516677909823
20200203,0.0019844064605000515
20200205,0.0020358653931106248
20200210,0.0020441397314097448
20200211,0.002047423587704626
20200212,0.0020373713419404725
20200213,0.0020416214459930936
20200216,0.0020314395455606716
20200217,0.002040273585218538
20200219,0.002038340331434099
20200224,0.0020354722817103117
20200225,0.002033107406218425
20200226,0.0020287462792231066
20200227,0.0020171966079489153
20200301,0.0019973945222603977
20200302,0.001966746916352417
20200304,0.001968249848582844
20200309,0.001943644841427132
20200310,0.0019335820085298432
20200311,0.0019176599908704473
20200312,0.0019113185292884934
20200315,0.0018907910454738113
20200316,0.0018775663608476846
20200318,0.0018805973156130527
20200323,0.0019288046702410522
20200324,0.0019234616550341847
20200325,0.0019166614080477903
20200326,0.0018511441337782206
20200329,0.0018479231505994155
20200330,0.0018326836129832244
20200401,0.001837978016998266
20200406,0.0017904934444647048
20200407,0.0018005240210577473
20200408,0.001797686088246658
20200409,0.0018027495578233905
