timestamp,nodes_intersect_rate,nodes_capacity_intersect_rate,shared_capacity_share
20190121,0.9973614775725593,0.9999772147897105,0.9999772147897107
20190123,0.9852700490998363,1.0001454826760805,1.0
20190128,0.9526578073089701,1.0002031916772267,1.0
20190129,0.9921602787456446,1.0,1.0
20190130,0.9446883230904302,1.0000874523744558,1.0
20190220,0.8187732342007435,0.9882327360078972,0.9875178788460257
20190225,0.9934312210200927,0.9992991393160904,0.9992991393160906
20190226,0.9993364299933643,0.9999828628606963,0.9999828628606963
20190227,0.9993487463366981,1.0000000000000002,1.0
20190228,0.9987208186760473,1.0,1.0
20190303,0.9873617693522907,0.9999692894407998,0.9999692894407998
20190304,0.9981998199819982,1.0,1.0
20190306,0.9967397747480735,0.9999849999509913,0.9999849999509913
20190311,0.9795454545454545,1.0000101280385516,0.9999999999999999
20190312,0.9939323894828085,1.0000000000000002,1.0
20190313,0.993606509735542,1.0000009151160256,1.0000000000000002
20190314,0.9964943032427696,0.9999981706434202,0.9999981706434202
20190317,0.9803864168618267,0.9999213615733006,0.9999190260381927
20190318,0.993452380952381,0.9999999999999998,1.0
20190428,0.868122009569378,0.992939655827845,0.9909700989554319
20190429,1.0,1.0,1.0
20190501,0.9970993473531544,1.0,1.0
20190506,0.9860004827419744,1.0000011294346443,1.0000000000000002
20190507,0.9987789987789988,1.0,1.0
20190508,0.997799511002445,0.9999999999999998,0.9999999999999998
20190509,0.9968152866242038,1.0000000000000002,1.0
20190617,0.9051597051597051,0.9992752858154588,0.9989624591885788
20190618,0.9981416957026713,1.0000000000000002,1.0000000000000002
20190619,0.9995349918623576,0.9999999999999998,1.0
20190620,1.0,0.9999324102232324,0.9999324102232324
20190623,0.9965485503911643,0.9999999999999998,0.9999999999999998
20190624,0.9972305561966305,1.0000000000000002,1.0
20190626,0.9921350913717326,1.0004105106438572,1.0
20190715,0.9398601398601398,0.999836303631948,0.9995455653874116
20190716,1.0,1.0000000000000002,1.0
20190717,0.9986301369863013,1.0000004013427142,1.0000000000000002
20190718,0.9995444191343964,0.999986918230345,0.9999869182303452
20190721,0.993416572077185,0.9999945702977984,0.9999945702977984
20190722,0.99909338168631,1.0,1.0
20190724,0.9966071024655055,1.0003976271946913,0.9999999999999998
20190729,0.9959422903516681,0.9999988055232447,0.9999914417187259
20190730,0.9970949720670391,0.9999999999999998,0.9999999999999998
20190731,0.9950816007154035,0.9999935294611101,0.9999935294611096
20190801,0.9984336540613112,1.0000000000000002,1.0
20190804,0.993510852539718,1.0000078957543799,1.0
20190805,0.9986984815618222,1.0,1.0
20190807,0.991129381220251,1.0000000000000002,1.0000000000000002
20190812,0.9890015095967221,1.0000101107187267,0.9999965825758552
20190813,0.9991414466623739,1.0,1.0
20190814,0.9957228400342173,1.000006149748277,1.0
20190815,0.9961406518010292,1.0,1.0
20190818,0.9868873602751504,1.0,1.0
20190819,0.9974076474400518,1.0000000000000002,1.0000000000000002
20190821,0.9937310851707739,1.0000038635893729,1.0
20190826,0.991104361032762,1.0000077817387873,1.0000000000000002
20190827,0.9959051724137931,0.9999943125718576,0.9999943125718578
20190828,0.9984968864075585,0.9999999999999998,1.0
20190829,0.997428204029147,1.0,1.0
20190901,0.9944325481798715,0.9997344965675807,0.9997344965675807
20190902,0.9967776584317938,1.0000015825263622,1.0000000000000002
20190904,0.9961298645452591,0.9999999999999998,1.0
20190909,0.9889830508474576,1.0000136929938412,0.9999968987382414
