timestamp,nodes_intersect_rate,nodes_capacity_intersect_rate,shared_capacity_share
20190121,0.9973614775725593,0.9902893946161209,0.9888138202853636
20190123,0.9852700490998363,1.0031288808957886,1.0
20190128,0.9526578073089701,1.0029481634967152,0.9999235198345272
20190129,0.9921602787456446,1.0008524353067547,1.0
20190130,0.9446883230904302,1.0166678020227309,1.0000000000000002
20190220,0.8187732342007435,0.9360371473775415,0.8913328643607945
20190225,0.9934312210200927,0.9888305878685778,0.9862496346514154
20190226,0.9993364299933643,0.9992693347500687,0.9992133296169469
20190227,0.9993487463366981,0.9993813341229033,0.9993164556172137
20190228,0.9987208186760473,0.999514007078839,0.9993716440271406
20190303,0.9873617693522907,0.9939541721111756,0.9939401801091913
20190304,0.9981998199819982,0.9986001385827264,0.9985959371350779
20190306,0.9967397747480735,0.9976078088069278,0.997532285732436
20190311,0.9795454545454545,1.0013486252114843,0.9998952310907637
20190312,0.9939323894828085,1.000640456209146,0.9999499145810892
20190313,0.993606509735542,1.0003013764586803,0.9999650905495416
20190314,0.9964943032427696,0.9996908857902393,0.9993820501079587
20190317,0.9803864168618267,1.001147928784978,0.9997937890043485
20190318,0.993452380952381,1.0001532714397579,0.99998904763497
20190428,0.868122009569378,0.9650620584799753,0.9204372452665985
20190429,1.0,0.9999927138611736,0.9999927138611738
20190501,0.9970993473531544,0.9999348318786632,0.9999214152849165
20190506,0.9860004827419744,0.9999225671272238,0.9998953118399012
20190507,0.9987789987789988,1.0000024963287688,1.0
20190508,0.997799511002445,1.0000024107826193,0.9999995849209523
20190509,0.9968152866242038,1.000033288465703,0.999999467838119
20190617,0.9051597051597051,0.9948766384319168,0.9773717372227795
20190618,0.9981416957026713,1.0000344072949217,0.999995605967182
20190619,0.9995349918623576,1.000002222162577,0.9999996330802474
20190620,1.0,0.9992941956744055,0.9992941956744057
20190623,0.9965485503911643,1.0000212705817324,0.9999985738669556
20190624,0.9972305561966305,1.0000133884142972,0.9999925272474898
20190626,0.9921350913717326,1.0005310278654362,0.9999999999999999
20190715,0.9398601398601398,1.0070969507708925,0.9948123380913628
20190716,1.0,0.9997878044015949,0.9997878044015951
20190717,0.9986301369863013,0.9999124658224569,0.99987129745161
20190718,0.9995444191343964,0.9998052029186406,0.9998044718189736
20190721,0.993416572077185,0.9966054789054181,0.9966050425246044
20190722,0.99909338168631,0.9998951894306382,0.9998565705747299
20190724,0.9966071024655055,0.9997428592722013,0.9993152228689178
20190729,0.9959422903516681,1.0000545062717754,0.999631364771743
20190730,0.9970949720670391,0.999992498485475,0.9999701115845497
20190731,0.9950816007154035,0.9998961240337092,0.9998273822511496
20190801,0.9984336540613112,0.9998166823946759,0.9997995844470903
20190804,0.993510852539718,1.0001398599734541,0.999569458130692
20190805,0.9986984815618222,1.000135215094992,0.9998732372312594
20190807,0.991129381220251,1.0000929227672457,0.9991692265269655
20190812,0.9890015095967221,1.0003122405813258,0.9991152877747207
20190813,0.9991414466623739,0.9996880500116115,0.9996835437633957
20190814,0.9957228400342173,1.0002196018969474,0.9999938762861964
20190815,0.9961406518010292,1.000211648269431,0.9999968193809751
20190818,0.9868873602751504,1.0005657629375415,0.9997545383329768
20190819,0.9974076474400518,1.000004460444011,0.9999939152556047
20190821,0.9937310851707739,1.0018698557392984,0.999920175650144
20190826,0.991104361032762,1.003628290527433,0.9992397999309091
20190827,0.9959051724137931,0.9994008689605991,0.999216899640324
20190828,0.9984968864075585,0.9999559874457605,0.9999346200160757
20190829,0.997428204029147,1.0007207178786377,0.9998916140851385
20190901,0.9944325481798715,1.0001085641126604,0.999849863860093
20190902,0.9967776584317938,0.9999807125976408,0.9998379871550386
20190904,0.9961298645452591,0.9990173717992807,0.998787861496832
20190909,0.9889830508474576,1.0063696821842196,0.9982206936068918
20190910,0.9972608512431521,1.0001032585292267,0.9999589294964634
20190911,0.9989469250210615,0.9998461544393386,0.9997885140706282
20190912,0.9897188417960554,1.0002640190471812,0.9998140423765399
20190915,0.9883868243243243,0.9989345545428766,0.9987221989790944
20190916,0.9993638676844784,0.9999034777714955,0.9999034777714957
20190918,0.996616620850074,0.9998116313965376,0.99956969251367
20190923,0.9917738873655347,0.9996264107760915,0.9988550199819203
20190924,0.997268333683547,1.0002213498071797,0.9998681427436394
20190925,0.996640067198656,0.9997711410192867,0.9995180696395207
20190926,0.9960109174889775,1.0003755981753903,0.9998720060851208
20190929,0.9955826672275978,0.9997613202961407,0.9995011704101788
20190930,0.9981120201384519,1.0013575662486547,0.9998789986452787
20191002,0.9913901721965561,1.0005607426460528,0.9998703926148679
20191007,0.987117212249208,1.0011303432260852,0.9996049256994892
20191008,0.9949066213921901,1.0003341032489703,1.0000000000000002
20191009,0.9987206823027719,0.9999982119919721,0.9999940572512696
20191010,0.9974397269042031,1.0001995899843417,0.9999691142103574
20191013,0.9626068376068376,1.0000321988781773,0.9998653548375278
20191014,0.997348652231551,0.9991783020652023,0.9991128712516424
20191016,0.994939493949395,0.9981266622984264,0.9978854243754774
20191021,0.9859154929577465,1.0001089889572579,0.9987022914867882
20191022,0.999351771823682,0.9998724208889214,0.9998724208889214
20191023,0.9993527508090615,1.0000093659098055,0.9999916226098777
20191024,0.999569151227919,0.9998889476174124,0.9998849386479651
20191027,0.9987099548484197,0.9996143056742527,0.9996100965017499
20191028,0.9993584260051326,0.9999457245074066,0.9999413478955153
20191030,0.9957283212302435,0.9985826955286811,0.9984115510022702
