timestamp,transitivity
20190120,0.009782103507668753
20190121,0.012200358088989838
20190123,0.011803379576057796
20190128,0.010356737043973467
20190129,0.010014029206256662
20190130,0.008472580086913048
20190220,0.04326448825692133
20190225,0.05099435193576787
20190226,0.05084068352910879
20190227,0.05093029374913898
20190228,0.054116831038656124
20190303,0.05683288720793363
20190304,0.05701464963443135
20190306,0.06004408410854045
20190311,0.06270318855508569
20190312,0.06278582769963814
20190313,0.06284091000608619
20190314,0.06248480431468227
20190317,0.06269897426001385
20190318,0.06242464817033551
20190428,0.06606510655089465
20190429,0.06592562629153818
20190501,0.06568033367552938
20190506,0.06412716642798019
20190507,0.06322646026295059
20190508,0.06258535377150173
20190509,0.061727514237870006
20190617,0.06030995602435755
20190618,0.06029937640139946
20190619,0.060166363602102924
20190620,0.05935027963715777
20190623,0.05830879552497487
20190624,0.057505136659847
20190626,0.05589475754537897
20190715,0.06979355037348611
20190716,0.06998462346502017
20190717,0.06991066436653262
20190718,0.06970621607023572
20190721,0.07084216626073941
20190722,0.07082599251782928
20190724,0.07054056122223552
20190729,0.07000606545143259
20190730,0.07073834502690071
20190731,0.071683536932055
20190801,0.07202976132282032
20190804,0.0713637086060015
20190805,0.07108157953025393
20190807,0.07069077963916016
20190812,0.0703656968668856
20190813,0.07028418971671468
20190814,0.07024045845490341
20190815,0.0684486773063496
20190818,0.06898023037738739
20190819,0.0690387227524776
20190821,0.06964652509206964
20190826,0.0695939409755407
20190827,0.06982623307641357
20190828,0.07007280387930255
20190829,0.0701321190695212
20190901,0.06963429623556125
20190902,0.06938610969140002
20190904,0.070111896923393
20190909,0.06874001114447256
20190910,0.06879968982622933
20190911,0.06859820746564899
20190912,0.06927386427762265
20190915,0.06941921622387616
20190916,0.0692596287287096
20190918,0.06841398179275146
20190923,0.06854500107953805
20190924,0.06870522949675033
20190925,0.06722704622823031
20190926,0.06708871828054773
20190929,0.06728205578148569
20190930,0.06741155176531849
20191002,0.06812584405138083
20191007,0.06737944629795903
20191008,0.0682069527031671
20191009,0.06790140154707945
20191010,0.06800669459270682
20191013,0.06781889742604431
20191014,0.0675246733526019
20191016,0.06712519440737137
20191021,0.06783277460661319
20191022,0.06687588285897492
20191023,0.06783446833301866
20191024,0.06775994099712812
20191027,0.0682617650590304
20191028,0.06810522877227582
20191030,0.0665924140687297
20191104,0.06579417519294242
20191105,0.06510451170038928
20191106,0.06475617655465558
20191107,0.06453685553580686
20191110,0.06366026715682879
20191111,0.06358929563482425
20191113,0.06278027467287867
20191118,0.05136792417650293
20200127,0.06928691040309656
20200128,0.06960450045613358
20200129,0.07007314562250089
20200130,0.06920583520699052
20200202,0.0659869375107222
20200203,0.06710783020876822
20200205,0.06789038314387025
20200210,0.06741596626721513
20200211,0.06732165160829859
20200212,0.06755100617354551
20200213,0.06753700288583706
20200216,0.06757444267437726
20200217,0.06798859464611631
20200219,0.06785963323888472
20200224,0.06742299213040344
20200225,0.06745177934123928
20200226,0.06722645222468297
20200227,0.06668963356732896
20200301,0.06700748714253575
20200302,0.06721968458297647
20200304,0.06752661890598774
20200309,0.06737701932047577
20200310,0.0672645274916008
20200311,0.06667219762935153
20200312,0.06641033356171207
20200315,0.06493222115586354
20200316,0.06504382810956742
20200318,0.06539566730482911
20200323,0.06453291345161015
20200324,0.06458056723418786
20200325,0.06457849885898888
20200326,0.06713156519466945
20200329,0.0672009505188726
20200330,0.06601764191460364
20200401,0.06597953931208468
20200406,0.06580929746313514
20200407,0.06649030668718693
20200408,0.06654705463750837
20200409,0.06692877301001164
20200412,0.06725966161731466
20200413,0.06743203766806302
20200415,0.06719989533652874
20200420,0.06703066739799234
20200421,0.06676758740741018
20200422,0.06663251262375486
20200423,0.06666030124784361
20200426,0.06507426104893446
20200427,0.06512487440649745
20200429,0.0653010309274275
20200504,0.06343148780170632
20200505,0.06347832620390499
20200506,0.06196517917813908
20200507,0.0619345226241794
20200510,0.06403363112501545
20200511,0.06385034668501746
20200513,0.0638855799991701
20200518,0.06385031353159072
20200519,0.0638543583333046
20200520,0.0632965537285727
20200521,0.06338055153717811
20200524,0.06192945378915809
20200525,0.06410547444886572
20200527,0.06369482000617292
20200601,0.06256376443011703
20200602,0.062385931353549195
20200603,0.062337262429950586
20200604,0.053986294196209296
20200610,0.06294918304726078
20200615,0.06153433681102955
20200616,0.06155111900799041
20200617,0.06144923450281503
20200618,0.0612735313725179
20200621,0.06133374951724021
20200622,0.06133270991347166
20200624,0.06124776264881344
20200629,0.06087691677328311
20200630,0.06124122387865524
20200701,0.061776852024072064
20200702,0.06159546922849749
20200705,0.06181149686421937
20200706,0.061863925278018664
20200708,0.062309658955690156
20200713,0.06227962420269474
20200714,0.06236858159216388
20200715,0.06258683316471739
20200716,0.06233856429049105
20200719,0.062299859829050834
20200720,0.06238779569919707
20200722,0.062030716611504035
20200727,0.06126424582780495
20200728,0.061285013956714374
20200729,0.06113840624935754
20200730,0.061246684290175324
