timestamp,powlaw_alpha,powlaw_k,powlaw_rsq
20190120,-2.0665257709758107,0.620451037016141,0.8749006262088419
20190121,-2.0736726917273063,0.6139765083411237,0.8380065119884617
20190123,-2.0507438988575792,0.6185765010212501,0.8636644133810046
20190128,-2.0828927521808507,0.607388093190297,0.862225667269663
20190129,-2.090987378787614,0.5877473894152676,0.8556611871828114
20190130,-2.1202797099591844,0.6022825772795853,0.8610556987657985
20190220,-2.107862151361768,0.5997109051444149,0.8354054640461182
20190225,-2.048481359035654,0.6319523705847266,0.8370459951787924
20190226,-2.0523795707854093,0.6259090995048535,0.8175800516759064
20190227,-2.0333283195629615,0.6356987895014057,0.8373640962540513
20190228,-2.0196437322188165,0.6454155050163767,0.8321649996047338
20190303,-2.0091421497146986,0.6588957879606891,0.8315480660792699
20190304,-2.0034464167208856,0.660605803887617,0.8323579132447945
20190306,-2.0037457662318032,0.6616254301994907,0.8354604881170087
20190311,-2.0403238522665625,0.6498389262407878,0.8217446487687913
20190312,-2.0336812168302902,0.6497449229132265,0.819254176493622
20190313,-2.0112697758197604,0.6586664625835716,0.8439393117171679
20190314,-2.024986439616215,0.6542832072480819,0.8340241260984986
20190317,-2.0143907340253344,0.6554090471883266,0.8506042734479838
20190318,-2.0155642407615293,0.6515860250889427,0.8459001899710126
20190428,-2.0253808599612726,0.647102463130893,0.817737273371524
20190429,-2.0289023764667284,0.6476201698958711,0.8198754476392565
20190501,-2.03085377693601,0.642249351342363,0.8085756931931481
20190506,-2.0415288781950323,0.6412103104715045,0.8062950923864788
20190507,-2.0241880128706176,0.6457104609846213,0.8153328820859139
20190508,-2.0387353734867917,0.6391833004893958,0.8044329874778277
20190509,-2.041320048822876,0.6389345154188966,0.802979782311084
20190617,-2.0771364308362315,0.6422529355319964,0.81873836320089
20190618,-2.0752855519326143,0.6430809269098813,0.8198077767969211
20190619,-2.069211224808315,0.6439099060249311,0.823158453785169
20190620,-2.0643172226182553,0.6456857255598707,0.8210564766271662
20190623,-2.0637309034502374,0.6435186774770664,0.8268465268771066
20190624,-2.0738433921380435,0.6403431901528834,0.8229657276135941
20190626,-2.0709090865145385,0.6414069011758607,0.83097430941877
20190715,-2.05137213856863,0.6514489632823469,0.8514550164967832
20190716,-2.0408665252507068,0.6577990113324987,0.85407434096528
20190717,-2.059698990660282,0.6534470695836299,0.8463643018126646
20190718,-2.0651015053554334,0.6486401398645794,0.835565993760514
20190721,-2.0625480391665763,0.6467707152238774,0.8380020549419098
20190722,-2.0469268316254503,0.6533540788925689,0.8551818302967555
20190724,-2.0496995031125103,0.6531809501898996,0.8450419459012224
20190729,-2.0708380472248913,0.6451161295502267,0.8362560168519344
20190730,-2.065105085412779,0.6564361302103275,0.8371892738714625
20190731,-2.0715618927844957,0.6483230989783181,0.8381348349029657
20190801,-2.0538184043295846,0.655484130463166,0.838334205766774
20190804,-2.0785228300985814,0.6487349556092609,0.8405308879574314
20190805,-2.090526985448012,0.6392752653451469,0.8269430581559691
20190807,-2.101452819902193,0.6401890077772638,0.8320064482003074
20190812,-2.0906909304180625,0.6427729006389523,0.8400910266243429
