timestamp,communicability_betweenness_centrality
20190120,0.017245260649249253
20190121,0.01787885154451323
20190123,0.01790655185837242
20190128,0.01778514134607425
20190129,0.0174454419601251
20190130,0.01719703569537268
20190220,0.019088017477653655
20190225,0.019937347763916244
20190226,0.019717145182017476
20190227,0.019698893882337132
20190228,0.019845373572988174
20190303,0.019585912700239946
20190304,0.019490081230312446
20190306,0.019188061530936162
20190311,0.019173402839085963
20190312,0.01921700141462852
20190313,0.019168999202945066
20190314,0.01907198176910195
20190317,0.019069518051990895
20190318,0.019099991826518295
20190428,0.018989897519460414
20190429,0.018981986958436933
20190501,0.0189655094980506
20190506,0.019109134154445588
20190507,0.019108919608947596
20190508,0.019112860297127676
20190509,0.019128911669276015
20190617,0.016926149017096107
20190618,0.01694122041799516
20190619,0.0169357083112035
20190620,0.016832088639423606
20190623,0.01684057591424372
20190624,0.01686615910019026
20190626,0.01691189387032258
20190715,0.016257402714522317
20190716,0.01621412114557044
20190717,0.01622020511942312
20190718,0.0161898928589497
20190721,0.016352555577773556
20190722,0.01635736209611841
20190724,0.01631870999940811
20190729,0.016258664057651098
20190730,0.016190709255923544
20190731,0.01615829103497184
20190801,0.016201101592309378
20190804,0.015582405892207626
20190805,0.015538171780913759
20190807,0.01541101757709471
20190812,0.015272320060966035
20190813,0.015223743279757073
20190814,0.015217007698427968
20190815,0.014737232840191851
20190818,0.0148367173945573
20190819,0.014871878471666681
20190821,0.014900966613997847
20190826,0.014860011001504062
20190827,0.014854216714352532
20190828,0.01483588414988776
20190829,0.014820918970001123
20190901,0.01483810051607586
20190902,0.014835102489958982
20190904,0.014726966339410726
20190909,0.014631929736614825
20190910,0.014622649965841691
20190911,0.014580639164938763
20190912,0.014587181081092065
20190915,0.014688993797220357
20190916,0.014660876823487606
20190918,0.014655980871319287
20190923,0.014607278144444071
20190924,0.014619994171308498
20190925,0.014577595717109018
20190926,0.01458952752745487
20190929,0.01452945023767757
20190930,0.014556299463164071
20191002,0.014647433864279207
20191007,0.014588932592576818
20191008,0.014541823131283571
20191009,0.014463183531903234
20191010,0.014459349635687423
20191013,0.01480919469015317
20191014,0.014766317829494814
20191016,0.01465901002011445
20191021,0.014546325900793224
20191022,0.014547305020441692
20191023,0.014566783018369923
20191024,0.014551028420854512
20191027,0.014542713591620623
20191028,0.014527466702596267
20191030,0.01445417353562044
20191104,0.014407584212640335
20191105,0.014429152118547475
20191106,0.014400524944451648
20191107,0.014393789167724816
20191110,0.014389308677488537
20191111,0.014394759482476224
20191113,0.01442260190890693
20191118,0.014187416497936102
20200127,0.015612582050471356
20200128,0.01566052056202551
20200129,0.015658943070085904
20200130,0.015729474817558993
20200202,0.014209394620356848
20200203,0.014000231397396125
20200205,0.014006095515507092
20200210,0.013867091292640943
20200211,0.01387211808748139
20200212,0.013822342846766323
20200213,0.013829916411736764
20200216,0.013806750974248034
20200217,0.01383598936125432
20200219,0.01386779814542242
20200224,0.013875562971228475
20200225,0.013873080754331047
20200226,0.01385908737731609
20200227,0.01377950815409607
20200301,0.01378025428595924
20200302,0.01366392653668361
20200304,0.013659820509040207
20200309,0.01363396473318054
20200310,0.01362102946492926
20200311,0.013591666584267173
20200312,0.013593485730433775
20200315,0.013574666766639105
20200316,0.013545761774659396
20200318,0.0135236166875016
20200323,0.013478626997628177
20200324,0.013467796235081167
20200325,0.01344916869021744
20200326,0.013414001235592693
20200329,0.013362671606637263
20200330,0.013330895160276406
20200401,0.01334750905075108
20200406,0.013204695168708837
