timestamp,density
20190120,0.005016908840908246
20190121,0.00504000504000504
20190123,0.00508971204325841
20190128,0.005092819018861505
20190129,0.004945293176421213
20190130,0.004829255641047809
20190220,0.003789008052986368
20190225,0.004148358660799882
20190226,0.0040925034763581135
20190227,0.004123579718960671
20190228,0.004249824746406552
20190303,0.004249404532289964
20190304,0.004241816397905822
20190306,0.004108379188302462
20190311,0.004052422284314233
20190312,0.004063515878969743
20190313,0.004038244399243062
20190314,0.003991722700169043
20190317,0.003929918201278726
20190318,0.003930229129782006
20190428,0.0038787629309639136
20190429,0.0038756020233501605
20190501,0.0038688121295739133
20190506,0.003905056567489396
20190507,0.0038990648773828767
20190508,0.003895635670662711
20190509,0.0038924377582524546
20190617,0.003309780708003575
20190618,0.003314534748544146
20190619,0.0033111562715945854
20190620,0.003282253114777712
20190623,0.0032789652048666007
20190624,0.0032856979386540553
20190626,0.0033053602183935596
20190715,0.003062350044918749
20190716,0.0030447309231168684
20190717,0.003053917668472278
20190718,0.003043770960462112
20190721,0.003080364694461818
20190722,0.003081446940302403
20190724,0.0030792440247518764
20190729,0.0030634603906369014
20190730,0.0030362057057111104
20190731,0.0030098922789101403
20190801,0.0030206096990047625
20190804,0.002828475269314164
20190805,0.0028124011214021066
20190807,0.002773951427567175
20190812,0.002735279418284956
20190813,0.002719175857604882
20190814,0.002719945235088535
20190815,0.0026124431122071215
20190818,0.002643699214657584
20190819,0.0026468491838141646
20190821,0.002644282924712519
20190826,0.0026330362518675993
20190827,0.002634415029069789
20190828,0.002628120048385415
20190829,0.0026244448898218374
20190901,0.0026259706605823293
20190902,0.0026242940008276636
20190904,0.0026041498306521417
20190909,0.0026098845592117505
20190910,0.002609460788341646
20190911,0.002595950064266871
20190912,0.0025901495476469078
20190915,0.002611987620042148
20190916,0.0026033699973415283
20190918,0.002597593308040017
20190923,0.002581070039104686
20190924,0.0025853169136995334
20190925,0.002583085016863593
20190926,0.0025865027255996056
20190929,0.0025753182659388695
20190930,0.0025820529588147997
20191002,0.002606411905338674
20191007,0.002596783383469458
20191008,0.002590284115479635
20191009,0.002576481966584047
20191010,0.002571957263130591
20191013,0.0026908982600225098
20191014,0.0026752235082663197
20191016,0.002641261862126713
20191021,0.0026063620039380292
20191022,0.0026080855400657118
20191023,0.002609601159921762
20191024,0.0026061686352570725
20191027,0.002600513259195894
20191028,0.0025947642413855316
20191030,0.0025809609132841243
20191104,0.0025795613435555
20191105,0.002588228222396386
20191106,0.0025824012180925044
20191107,0.002580546300609995
