timestamp,shortest_path_length
20210912,3.3213
20210921,3.3307
20210926,3.3759
20211010,3.3926
20220222,3.486
20220227,3.4781
20220308,3.4796
20220313,3.4864
20220322,3.4975
20220327,3.4935
20220405,3.4967
20220410,3.4911
20220419,3.5009
20220424,3.5264
20220503,3.372
20220508,3.3717
20220517,3.3744
20220522,3.3695
20220531,3.3512
20220605,3.3783
20230604,3.4319
20230618,3.4401
20230702,3.4019
20230716,3.4239
