alpha,xmin,KS_stat,KS_pvalue,LRatio,LR_pvalue,r_squared,timestamp
1.8470111947608134,2.0,0.3291338582677165,8.852795850228932e-62,-0.3471874123786087,0.7284505268524726,0.9879175279882763,20190120
1.8220762444665908,2.0,0.3049645390070922,1.0926927428048298e-58,-0.28748765651938835,0.7737389518958098,0.9875268208591623,20190121
1.8298333775755784,2.0,0.30703012912482064,7.918829428898838e-59,-0.024095736872868926,0.9807762438193056,0.9884383280112705,20190123
1.845473482001358,2.0,0.31317829457364343,1.0326976663108734e-56,-0.1141633761558313,0.9091082836415763,0.9894143811629965,20190128
1.8552441527590382,2.0,0.3179650238473768,4.7590114392373024e-57,0.2412578076916799,0.8093553097045363,0.9907503585821122,20190129
1.9050562571655063,2.0,0.34133790737564323,3.905080298418787e-61,0.002332809277615143,0.998138689182302,0.992720100768206,20190130
2.16787295188044,11.0,0.08108108108108109,0.005491965293752416,0.6079214688537965,0.5432395598762528,0.9918919277188665,20190220
2.1838801657801157,16.0,0.053267533806254874,0.14338616084812517,0.01693890916276442,0.9864853521907011,0.9936883379853614,20190225
2.175542459709654,16.0,0.055674518201284794,0.10647595668721799,-0.3320481392565229,0.7398529092815395,0.9944417335425916,20190226
2.1875472436757675,16.0,0.06464646464646465,0.030520335666458176,-0.11175704587299734,0.9110160465191884,0.9944724220700367,20190227
1.95929799304533,7.0,0.1157243816254417,1.1555892126253235e-13,-2.3780637937726867,0.01740381469583332,0.9870401589577614,20190228
2.0211818705352873,9.0,0.10028929604628736,1.5632907753984896e-09,-1.9195278711784547,0.05491756250914158,0.9917116803487983,20190303
2.02194621919494,9.0,0.09613572101790764,5.4964647641844254e-09,-2.0897334954318176,0.03664174635550277,0.991897137051018,20190304
2.1763882130520527,17.0,0.06176961602671119,0.019817101108735635,-0.9797111086132125,0.32722874111362865,0.9969224134348484,20190306
2.168635674764097,17.0,0.061837455830388695,0.02525517399849997,-0.8876424532080375,0.37473310996594267,0.9966769350705611,20190311
2.1711788414867557,17.0,0.06405693950177936,0.018985294926479504,-0.8165680585660134,0.4141753150065768,0.9964144152525146,20190312
2.1651284341506996,17.0,0.057971014492753624,0.04703002203736173,-0.9083078204872779,0.3637156118227626,0.9964606095996074,20190313
2.1923409372180838,20.0,0.05482456140350877,0.12425904413563771,-0.7710900801516936,0.4406535400021,0.9953036725015596,20190314
2.2106153781348388,20.0,0.05668934240362812,0.11305118925922952,-0.26610998404184755,0.7901545059990404,0.9947386049339167,20190317
2.2152976562903017,20.0,0.05056769960404828,0.20560308108580672,-0.05812463088835727,0.9536493549450443,0.9940259242434966,20190318
2.233626557316326,18.0,0.061170212765957445,0.006885366343134328,1.0059378649999884,0.3144454602826132,0.9933005656385759,20190428
2.2353192234463704,18.0,0.06382978723404255,0.004165749326634234,1.045731038947406,0.29568522800829533,0.9932451294439107,20190429
2.231404877826984,18.0,0.059589338215148335,0.009320108056964002,1.0799996688214084,0.2801423276537087,0.993501239068126,20190501
